PAGINA,DESCRIPCION,PRECIO,
4,205-2663 (7414) ORO,40.93,35.59
5,214-6928 (18605) NARANJA,40.81,35.49
5,212-3868 (18605) NEGRO,40.81,35.49
6,210-8926 (18615) GRIS OBSCURO,41.78,36.33
6,214-8267 (18615) ORO ,41.78,36.33
8,214-6164 (18597) CAFÉ,42.99,37.38
8,212-3820 (18597 NEGRO,42.99,37.38
9,212-3844 (18616) NEGRO,41.78,36.33
9,214-8281 (18616) ROJO,41.78,36.33
10,201-9802 (6373) BLANCO,40.46,35.18
10,200-2163 (11339) AZUL,40.2,34.96
10,205-5763 (12639) BEIGE,37.19,32.34
11,210-9206 (18611) CAFÉ,41.78,36.33
11,214-8083 (18611) ROJO,41.78,36.33
11,214-8120 (18612) BLANCO,41.78,36.33
11,210-9220 (18612) NEGRO,41.78,36.33
12,214-7543 (18606) CAFÉ,38.4,33.39
12,208-0260 (18606) NEGRO,38.4,33.39
14,214-6560 (18601) BLANCO,34.18,29.72
14,210-9244 (18601) NEGRO,36.59,31.82
15,209-2003 (18590) CAFÉ,40.7,35.39
15,214-8069 (18590) NARANJA,40.7,35.39
16,201-7754 (4417) NEGRO,36.82,32.02
16,200-2385 (5776) CAFÉ OSCURO,39.61,34.44
17,214-7864 (18607) FIUSHA,37.56,32.66
17,209-1983 (18607) NEGRO,37.56,32.66
18,214-6720 (18602) BLANCO,44.32,38.54
18,210-9404 (18602) CAFÉ,44.32,38.54
20,205-2649 (6422) NEGRO,45.53,39.59
20,200-2446 (12600) CAFÉ,34.53,30.03
21,214-8007 (18609) CAFÉ,36.23,31.5
21,209-7060 (18609) NEGRO,36.23,31.5
22,209-6407 (18608) MIEL,38.04,33.08
22,214-7901 (18608) ROJO,38.04,33.08
24,204-3807 (5809) NEGRO,35.63,30.98
25,210-9329 (18592) CAFÉ,36.59,31.82
25,214-4580 (18592) ROJO,36.59,31.82
26,214-4825 (18595) CAFÉ,40.81,35.49
26,209-2065 (18595) NEGRO,40.81,35.49
28,201-9635 (5446) NEGRO,39,33.91
28,200-2439 (11662) ORO,41.78,36.33
28,204-3869 (15220) NEGRO,40.2,34.96
29,214-4504 (18591) CAFÉ,42.26,36.75
29,210-9282 (18591) NEGRO,42.26,36.75
30,214-6843 (18604) BEIGE,38.4,33.39
30,210-9121 (18604) NEGRO,38.4,33.39
32,204-4002 (15222) ORO,40.81,35.49
32,209-6643 (18596) NEGRO,40.33,35.07
32,214-5983 (18596) ORO,40.33,35.07
33,214-4801 (18594) CAFÉ,42.86,37.27
33,210-9169 (18594) NEGRO,42.86,37.27
34,214-8380 (11439) AZUL,36.71,31.92
35,214-8205 (18614) CAFÉ,42.26,36.75
35,209-7107 (18614) NEGRO,42.26,36.75
36,214-4740 (18593) FIUSHA,43.36,37.7
36,214-4702 (18593) HUESO,43.36,37.7
36,210-9145 (18593) NEGRO,43.36,37.7
38,208-0246 (18588) AZUL MARINO,36.71,31.92
38,214-3125 (18588) VINO,36.71,31.92
40,204-4224 (1502) ORO,31.15,27.09
40,204-4200 (15202) VERDE,31.15,27.09
40,204-2022 (15227) CAFÉ,42.86,37.27
40,204-2008 (15227) NEGRO,42.86,37.27
41,212-5640 (18598) AZUL MARINO,45.29,39.38
41,214-5587 (18598) MIEL,45.29,39.38
42,212-9129 (18600) CAFÉ,42.5,36.96
42,214-5624 (18600) ROJO,42.5,36.96
44,204-4248 (2511) BEIGE,41.91,36.44
44,214-8441 (18599) CAFÉ,43.6,37.91
44,212-5664 (18599) NEGRO,43.6,37.91
45,204-3760 (15217) CAFÉ OSCURO,42.15,36.65
45,204-3746 (15217) ROJO,42.15,36.65
46,213-9302 (18613) BLANCO,44.8,38.96
46,214-8168 (18613) ROJO,44.8,38.96
48,201-7525 (3646) NEGRO,42.62,37.06
49,200-2231 (2572) NEGRO,38.16,33.18
50,214-4467 (18589) CAFÉ,42.62,37.06
50,208-5128 (18589) NEGRO,42.62,37.06
52,204-3128 (5808) CAFÉ,41.66,36.23
52,204-3142 (5808) NEGRO,41.66,36.23
52,204-1827 (15224) CAFÉ,42.26,36.75
53,214-6768 (18603) CAFÉ OSCURO,43.95,38.22
53,209-6445 (18603) NEGRO,43.95,38.22
54,201-9765 (6361) NEGRO,41.78,36.33
54,204-3180 (15212) NEGRO,43.47,37.8
55,208-5326 (18610) NEGRO,45.03,39.16
55,214-8021 (18610) ROJO,45.03,39.16
56,200-2217 (5801) NEGRO,47.46,41.27
57,201-9420 (5173) NEGRO,31.64,27.51
57,200-2279 (11678) NEGRO,34.96,30.4
58,201-8904 (4614) NEGRO,49.02,42.63
58,200-2248 (11685) NEGRO,39,33.91
59,200-2125 (12599) CAFÉ,41.78,36.33
59,204-2121 (15229) NEGRO,36.95,32.13
60,201-7303 (3226) NEGRO,38.64,33.6
60,202-5407 (4548) NEGRO,48.9,42.52
60,200-2095 (13183) NEGRO,45.53,39.59
61,204-3104 (15211) NEGRO,42.5,36.96
61,204-3340 (15214) NEGRO,46.24,40.21
62,202-5179 (1371) NEGRO,21.25,18.48
62,203-5185 (14307) LILA,11.83,10.29
63,204-3920 (15221) MIEL,17.87,15.54
63,208-4886 (15385) MULTICOLOR,13.52,11.76
64,201-7280 (3132) CAFÉ,48.3,42
64,201-9857 (6404) NEGRO,59.17,51.45
65,201-7297 (3138) CAFÉ OSCURO,45.77,39.8
65,204-1889 (15225) CAFÉ,51.07,44.41
66,204-2688 (15236) CAFÉ OSCURO,54.69,47.56
66,204-2664 (15236) NEGRO,54.69,47.56
68,207-4764 (13404) AZUL MARINO,41.78,36.33
68,200-2170 (13404) NEGRO,41.78,36.33
69,207-4887 (12531) NEGRO,39.97,34.76
69,207-4900 (12531) ROJO,39.97,34.76
70,207-4825 (13407) NEGRO,44.44,38.64
70,107-5861 (13807) COGÑAC,41.66,36.23
70,107-5854 (13807) NEGRO,41.66,36.23
71,202-5506 (5238) NEGRO,41.42,36.02
71,203-1279 (15364) NEGRO,41.66,36.23
71,203-1286 (15364) ROJO,41.66,36.23
72,210-9183 (18618) NEGRO,46.74,40.64
72,214-8540 (18618) ROJO,46.74,40.64
74,202-5803 (7893) NEGRO,43.47,37.8
74,207-5006 (13446) BEIGE,42.39,36.86
75,202-5759 (7892) AZUL MARINO,41.06,35.7
75,202-5773 (7892) NEGRO,41.06,35.7
76,207-4283 (13403) NEGRO,44.8,38.96
77,107-5120(13405) NEGRO,42.39,36.86
78,107-3010 (6906) BEIGE,40.81,35.49
78,107-3034 (6906) NEGRO,40.81,35.49
79,107-3003 (6803) BEIGE,43.95,38.22
79,107-2983 (6803) NEGRO,43.95,38.22
79,107-2990 (6803) ROJO,43.95,38.22
80,214-8885 (15368) BEIGE,47.21,41.05
80,203-5444 (15368) NEGRO,47.21,41.05
80,207-7246 (15368) VINO,47.21,41.05
81,107-5144 (13408) ROJO,45.16,39.27
82,107-5700 (13799) BLANCO,46.01,40.01
82,207-7284 (13799) NEGRO,45.77,39.8
83,214-8908 (15365) BEIGE,47.21,41.05
83,203-1293 (15365) NEGRO,45.77,39.8
83,203-1309 (15365) ROJO,45.77,39.8
84,202-5636 (6413) NEGRO,41.42,36.02
84,107-5731 (13801) BEIGE,43.23,37.59
84,107-5748 (13801) NEGRO,43.23,37.59
85,200-2149 (13406) NEGRO,44.44,38.64
85,200-2132 (13406) ROJO,44.44,38.64
86,202-5438 (4972) BLANCO,44.08,38.33
86,202-5445 (4972) NEGRO,44.08,38.33
87,202-5650 (6414) BLANCO,43.36,37.7
87,202-5667 (6414) NEGRO,43.36,37.7
