PAGINA,DESCRIPCION,PRECIO,PRECIO
3,112-2930 (17219) AZUL,26.69,23.21
3,216-2003 (19170) CAFÉ CLARO,23.55,20.48
3,215-2400 (19171) NEGRO,25.73,22.37
3,112-2411 (77040) MULTICOLOR,30.06,26.14
5,105-8093 (12869) CAFÉ,21.86,19.01
5,217-2682 (19158) NEGRO,12.80,11.13
5,216-2003 (19170) CAFÉ CLARO,23.55,20.48
5,215-2400 (19171) NEGRO,25.73,22.37
7,104-3310 (7877) CAFÉ OSCURO,20.77,18.06
7,104-2993 (7877) NEGRO,20.77,18.06
7,105-1810 (12664) NEGRO,9.06,7.88
7,216-7206 (19157) NEGRO,20.41,17.75
8,105-3364 (12739) CAFÉ,11.47,9.97
8,105-8116 (12871) CAFÉ,12.91,11.23
8,223-1228 (19263) CORAL,22.09,19.21
11,110-4585 (16993) GRIS,31.28,27.20
11,112-3074 (16997) AZUL,31.15,27.09
11,112-2572 (17115) GRIS,31.52,27.41
11,112-2732 (17213) AZUL,33.68,29.29
11,112-2534 (77046) MORADO,35.87,31.19
11,112-2916 (77053) AZUL,41.91,36.44
12,203-5628 (14332) AZUL MARINO,31.64,27.51
12,203-5611 (14332) GRIS OBSCURO,31.64,27.51
13,104-1910 (5496) NEGRO,32.25,28.04
13,203-5635 (14333) AZUL MARINO,31.40,27.30
13,216-7244 (19154) NEGRO,34.42,29.93
13,216-7305 (19155) AZUL MARINO,34.05,29.61
14,105-7409 (12804) AZUL MARINO,39.73,34.55
14,214-5181 (18558) AZUL MARINO,35.87,31.19
14,223-0306 (19139) NEGRO,39.25,34.13
15,222-9140 (19131) AZUL MARINO,38.16,33.18
15,216-3284 (19131) ROJO,38.16,33.18
15,216-6506 (19153) AZUL MARINO,32.25,28.04
16,104-5499 (9900) NEGRO,41.78,36.33
16,210-8063 (18530) AZUL,46.37,40.32
17,210-7967 (18526) AZUL MARINO,52.41,45.57
17,217-1487 (19156) CAFÉ,40.09,34.86
18,105-7973 (12858) CAFÉ CLARO,48.90,42.52
18,105-7980 (12858) NEGRO,48.90,42.52
19,104-5147 (7958) AZUL MARINO,46.37,40.32
19,214-2067 (18527) MIEL,46.85,40.74
19,210-8001 (18527) NEGRO,46.85,40.74
20,212-7989 (18538) CAFÉ,46.13,40.11
20,212-8009 (18539) AZUL MARINO,47.33,41.16
21,203-7400 (15357) NEGRO,62.66,54.49
21,212-8801 (19142) MIEL,54.46,47.36
21,223-0085 (19142) NEGRO,54.46,47.36
22,223-0221 (19138) CAFÉ CLARO,49.27,42.84
22,223-0207 (19138) NEGRO,49.27,42.84
23,214-1947 (18519) AZUL MARINO,40.70,35.39
23,210-7363 (18519) NEGRO,40.70,35.39
23,214-4863 (18540) AZUL MARINO,49.99,43.47
24,223-0184 (19137) AZUL MARINO,46.24,40.21
24,223-0160 (19137) GRIS,46.24,40.21
25,212-8061 (18542) AZUL MARINO,40.20,34.96
25,223-0320 (19146) CAFÉ OSCURO,48.06,41.79
27,214-7161 (7965) CAFÉ CLARO,42.15,36.65
27,104-5093 (7965) NEGRO,42.15,36.65
27,212-1949 (19160) CAFÉ CLARO,46.97,40.84
27,223-1020 (19160) NEGRO,46.97,40.84
28,203-3648 (14341) CAFÉ OSCURO,55.67,48.41
28,203-3662 (14342) NEGRO,55.67,48.41
29,203-4492 (18514) CAFÉ OSCURO,46.37,40.32
29,216-3444 (19163) CAFÉ OSCURO,48.06,41.79
31,209-4687 (18515) CAFÉ CLARO,49.75,43.26
31,212-2281 (18533) CAFÉ CLARO,45.03,39.16
31,212-7484 (18537) CAFÉ OSCURO,48.66,42.31
31,213-2143 (19162) CAFÉ OSCURO,48.66,42.31
32,215-7245 (19152) AZUL MARINO,42.39,36.86
34,204-0783 (15187) CAFÉ,40.46,35.18
