PAGINA,DESCRIPCION,PRECIO,CLAVE
132,122-1275 MASCARA EXTRA-VOLUMEN,5.74,4.99
132,122-0339 MASCARA PARA PESTAÑAS,4.09,3.56
132,122-0292 ACONDICIONADOR PARA PESTAÑAS,5.74,4.99
132,122-0353 ESTUCHE SOMBRAS C/GEL FIJADOR,8.21,7.14
133,122-0810 CUARTETO SOMBRAS MARMOL ROCOSO,5.74,4.99
133,122-0735 CUARTETO SOMBRAS LLUVIA MARINA,5.74,4.99
133,122-0759 CUARTETO SOMBRAS BOSQUE EXOTICO,5.74,4.99
133,122-0711 CUARTETO SOMBRAS METAL VOLCANICO,5.74,4.99
133,122-0834 CUARTETO SOMBRAS TUNDRA SALVAJE,5.74,4.99
133,122-0773 CUARTETO SOMBRAS CIELO VIBRANTE,5.74,4.99
133,122-0858 CUARTETO SOMBRAS IRIS NUBLADO,5.74,4.99
133,122-0797 CUARTETO SOMBRAS DESIERTO MISTERIOSO,5.74,4.99
134,122-1299 LABIAL ROJO GROSELLA,5.75,5.00
134,122-1398 LABIAL ARENA CARIBE,5.75,5.00
134,122-1350 LABIAL AZUCAR DORADA,5.75,5.00
134,122-1435 LABIAL NATURAL SILVESTRE,5.75,5.00
134,122-1411 LABIAL TOQUE DE CAOBA,5.75,5.00
134,122-1312 LABIAL VINO TINTO,5.75,5.00
134,122-1336 LABIAL PALO DE ROSA,5.75,5.00
134,122-1374 LABIAL ROSA EXOTICO,5.75,5.00
134,122-0155 LABIAL CARICIA DE AZUCENA,4.92,4.28
134,122-0117 LABIAL CAPRICHOS ROCOSOS,4.92,4.28
134,122-0193 LABIAL ARENA ROSETA,4.92,4.28
134,122-0094 LABIAL MAR DE CORAL,4.92,4.28
134,122-0278 LABIAL TERRA ROSSA,4.92,4.28
134,122-0230 LABIAL RED BASALTIC,4.92,4.28
134,122-0216 LABIAL GOLDEN AMAZONA,4.92,4.28
134,122-0179 LABIAL COSTA SILVER,4.92,4.28
134,122-0254 LABIAL SAHARA TOSTADO,4.92,4.28
134,122-0131  LABIAL DELICIA GLACIAR,4.92,4.28
135,122-0377 RUBOR FACIAL EN POLVO OCRE ESCARLATA,8.21,7.14
135,122-0414 RUBOR FACIAL EN POLVO DELICIAS TROPICALES,8.21,7.14
135,122-0391 POLVO FACIAL SUELTO TRASLUCIDO MELOCOTON EXOTICO,8.21,7.14
135,122-0315 POLVO FACIAL SUELTO TRASLUCIDO,7.39,6.43
136,122-1152 MASCARILLA FACIAL ,6.57,5.71
136,122-0551 EXFOLIANTE FACIAL ,8.21,7.14
136,122-3170 PQTE CUERPO HIDRATADO ,10.67,9.28
136,122-0933 LOCION CORPORAL ,6.57,5.71
136,122-0971 FANGO MASCARILLA,8.21,7.14
136,122-3194 PAQUETE CUERPO REAFIRMANTE,10.67,9.28
137,122-0513 MASCARILLA FACIAL ,5.74,4.99
137,122-1114 CREMA FACIAL ,6.57,5.71
137,122-1138 GEL FACIAL CONCENTRADO,8.21,7.14
137,122-3156 PAQUETE JALEA REAL ,10.67,9.28
137,122-0919 FANGO HIDRATANTE,7.39,6.43
137,122-0872 SHAMPOO INTIMO ,5.75,5.00
138,122-0957 LOCION REFRESCANTE,7.89,6.86
138,122-0674 (2 EN 1 JABON Y EXFOLIANTE),5.91,5.14
138,122-0698 CREMA SUAVIZANTE PARA PIES,7.23,6.29
138,122-0995 SALES REFRESCANTES DE BAÑO P/PIES,3.94,3.43
139,122-0636 SPRAY CORPORAL ,7.39,6.43
139,122-1039 CREMA CORPORAL ,6.57,5.71
139,122-3217 PAQUETE RESPIRO NATURAL,10.67,9.28
139,122-1015 HUMECTANTE PARA LABIOS,2.46,2.14
139,122-1053 CREMA CORPORAL,5.74,4.99
139,122-0612 CREMA REFRESCANTE PARA PIERNAS,8.21,7.14
140,122-0537 PROTECCION LUMINOUS -TRATAMIENTO,8.21,7.14
140,122-0490 PROTECCION LUMINOUS -SHAMPOO,6.57,5.71
140,122-1497 FORTALECIMIENTO -TRATAMIENTO,8.21,7.14
140,122-0438 FORTALECIMIENTO -SHAMPOO,5.75,5.00
140,122-0476 REPARACION TOTAL- TRATAMIENTO,8.21,7.14
140,122-0452 REPARACION TOTAL -SHAMPOO,5.75,5.00
141,122-0575 TRATAMIENTO CAPILAR NOCTURNO,4.09,3.56
141,122-0650 TRATAMIENTO CONCENTRADO CAPILAR,4.92,4.28
141,122-0599 SILICON TERMICO -SEDA CAPILAR,4.93,4.29
141,122-1213 SHAMPOO INTENSIFICADOR ROJO,5.74,4.99
141,122-1190 SHAMPOO INTENSIFICADOR CASTAÑO,5.74,4.99
141,122-1176 SHAMPOO INTENSIFICADOR NEGRO,5.74,4.99
142,122-1077 SPRAY CORPORAL,5.74,4.99
142,122-1459 JABON LIQUIDO CORPORAL -RELAJA,5.74,4.99
142,122-1473 JABON LIQUIDO CORPORAL -DESESTRESA,5.74,4.99
142,122-1091 SPRAY CORPORAL -DESESTRESA,5.74,4.99
142,122-1251 COLONIA PARA CABALLERO IU ,13.80,12.00
142,122-1237 PERFUME PARA DAMA IU ,12.32,10.71
