PAGINA,DESCRIPCION,PRECIO
2,227-3761 (2393) VINO,49.51
2,112-5399 (17231) CAFÉ,38.04
2,113-0096 (77102) ORO,29.11
3,227-7400 (3221) VINO,55.30
3,112-5115 (77098) NEGRO,36.82
4,227-3808 (3116) MORADO,45.16
4,115-0933 (17065) GRIS,16.31
4,115-2098 (77298) NEGRO,24.02
5,227-3785 (3112) MIEL,79.45
5,115-2111 (77295) NEGRO,30.67
6,227-3662 (2514) VINO,37.67
6,112-4972 (17228) GRIS,55.67
6,113-0133 (18095) GRIS,31.28
7,206-2327 (15312) CAFÉ,77.04
7,115-0872 (17271) CAFÉ,28.74
7,113-0157 (18095) BEIGE,31.28
8,223-7961 (3218) NEGRO,52.28
8,112-5351 (17230) NEGRO,36.23
8,112-5276 (77088) VINO,11.24
8,115-9691 (81036) NEGRO,20.17
9,223-6841 (3161) NEGRO,51.57
9,115-0919 (17065) NEGRO,16.31
9,109-7627 (76525) NEGRO,15.10
9,112-4910 (77081) VINO,67.99
9,115-9653 (81094) NEGRO,12.08
10,107-3638 (11903) NEGRO,59.65
10,115-2296 (17281) NEGRO,25.48
10,112-4934 (77082) GRIS,35.50
10,112-5214 (77087) GRIS,11.72
11,224-0169 (3798) NEGRO,43.23
11,227-7103 (3798) ROJO,43.23
11,112-4972 (17228) GRIS,55.67
11,112-5030 (77091) GRIS,48.30
12,223-4427 (2744) CAFÉ OSCURO,52.28
12,112-5399 (17231) CAFÉ,38.04
12,116-2554 (77391) VERDE,25.12
13,227-6663 (3575) CAFÉ OSCURO,62.79
13,112-4699 (77077) AZUL,47.21
14,223-6667 (3145) NEGRO,74.27
14,112-5412 (17231) NEGRO,38.04
14,115-1299 (77258) NEGRO,28.98
15,224-0107 (3770) NEGRO,43.71
15,109-7610 (76525) HUESO,15.10
15,115-2210 (77290) NEGRO C/BLANCO,38.04
16,223-3789 (2558) NEGRO,24.02
16,200-0183 (16028) NEGRO,25.84
16,112-4798 (77080) NEGRO,61.23
16,112-5238 (77084) AZUL,13.17
