PAGINA,DESCRIPCION,PRECIO,LOTE
2,"632 SET 2 PIEZAS (2,4,6,8,10) BLANCO",79.30,61
2,"632 SET 2 PIEZAS (2,4,6,8,10) TURQUEZA",79.30,61
2,"632 SET 2 PIEZAS (2,4,6,8,10) CORAL",79.30,61
2,"632 SET 2 PIEZAS (2,4,6,8,10) ROJO",79.30,61
2,"632 SET 2 PIEZAS (2,4,6,8,10) AQUA",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) BLANCO",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) TURQUEZA",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) CORAL",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) ROJO",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) AQUA",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) FUCSIA",79.30,61
2,"631 SET 3 PIEZAS (2,4,6,8,10) ROYAL BLUE",79.30,61
3,"632 SET 2 PIEZAS (2,4,6,8,10) BLANCO",79.30,61
3,"632 SET 2 PIEZAS (2,4,6,8,10) TURQUEZA",79.30,61
3,"632 SET 2 PIEZAS (2,4,6,8,10) CORAL",79.30,61
3,"632 SET 2 PIEZAS (2,4,6,8,10) ROJO",79.30,61
3,"632 SET 2 PIEZAS (2,4,6,8,10) AQUA",79.30,61
3,"C578 VESTIDO (2,4,6,8,10) BLANCO",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) TURQUEZA",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) ROJO",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) FUCSIA",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) MORADO",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) CORAL",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) AQUA",67.60,52
3,"C578 VESTIDO (2,4,6,8,10) ORO",67.60,52
4,"ELZA 2 PIEZAS (2,4,6,8,10) TURQUEZA",55.90,43
4,"P102 VESTIDO (M/6-9, L/9-12 MESES) PURPLE",29.90,23
4,"T136 VESTIDO (M/6-9, L/9-12 MESES) TURQUEZA",29.90,23
