PAGINA,DESCRIPCION,PRECIO,Lote
2,"689 VESTIDO 1 PIEZA (2,4,6,8,10) BABY BLUE",85.40,61
2,"689 VESTIDO 1 PIEZA (2,4,6,8,10) CORAL",85.40,61
2,"689 VESTIDO 1 PIEZA (2,4,6,8,10) BLANCO",85.40,61
2,"689 VESTIDO 1 PIEZA (2,4,6,8,10) PINK",85.40,61
2,"687 VESTIDO 2 PIEZAS (2,4,6,8,10) AZUL",84.00,60
2,"687 VESTIDO 2 PIEZAS (2,4,6,8,10) PINK",84.00,60
3,"633 VESTIDO 2 PIEZAS (8,10,12,14,16) BLANCO",91.00,65
3,"695 VESTIDO 2 PIEZAS (2,4,6,8,10) CORAL",85.40,61
3,"695 VESTIDO 2 PIEZAS (2,4,6,8,10) ROJO",85.40,61
4,"631 VESTIDO 3 PIEZAS (2,4,6,8,10) ROYAL BLUE",85.40,61
4,"631 VESTIDO 3 PIEZAS (2,4,6,8,10) CORAL",85.40,61
4,"631 VESTIDO 3 PIEZAS (2,4,6,8,10) FUCSHIA",85.40,61
4,"631 VESTIDO 3 PIEZAS (2,4,6,8,10) TURQUEZA",85.40,61
4,"631 VESTIDO 3 PIEZAS (2,4,6,8,10) BLANCO",85.40,61
4,"696 VESTIDO 2 PIEZAS (2,4,6,8,10) ROJO",85.40,61
4,"696 VESTIDO 2 PIEZAS (2,4,6,8,10) AQUA",85.40,61
4,"696 VESTIDO 2 PIEZAS (2,4,6,8,10) TURQUEZA",85.40,61
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) ROJO",72.80,52
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) BLANCO",72.80,52
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) MORADO",72.80,52
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) TURQUEZA",72.80,52
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) FUCSHIA",72.80,52
5,"C578 VESTIDO 1 PIEZA (2,4,6,8,10) CORAL",72.80,52
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) BLANCO",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) AQUA",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) TURQUEZA",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) ROJO",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) FUCSHIA",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) CORAL",85.40,61
5,"632 VESTIDO 2 PIEZAS (2,4,6,8,10) ROYAL BLUE",85.40,61
6,"693 VESTIDO 2 PIEZAS (2,4,6,8,10) FUCSHIA",85.40,61
6,"693 VESTIDO 2 PIEZAS (2,4,6,8,10) MINT",85.40,61
6,"693 VESTIDO 2 PIEZAS (2,4,6,8,10) ROJO",85.40,61
7,"ANA VESTIDO 2 PIEZAS (2,4,6,8,10) AZUL/FIUSHA",60.20,43
7,"ELZA VESTIDO 2 PIEZAS (2,4,6,8,10) AZUL",60.20,43
8,"222 VESTIDO 1 PIEZA (2,4,6,8,10) BEIGE",42.00,30
8,"166 VESTIDO 1 PIEZA (2,4,6,8) PINK",36.40,26
8,"C228 VESTIDO 1 PIEZA (2,4,6,8,10) CORAL",42.00,30
9,"229 VESTIDO 1 PIEZA (2,4,6,8,10) IVORY",42.00,30
9,"V220 VESTIDO 1 PIEZA (2,4,6) PURPLE",36.40,26
9,"366 VESTIDO 1PIEZA (2,4,6,8,10) TEAL",42.00,30
10,"100 (1 SET SIZES 4,6,8,10,12,14) CORAL",22.40,16
10,"1003 (1 SET SIZES 4,6,8,10,12,14) MINT",21.00,15
10,"1001 (1 SET SIZES 4,6,8,10,12,14) ROYAL BLUE",21.00,15
11,"001- VESTIDO 1 PIEZA (4,6,8,10,12,14) MINT",23.80,17
11,"1002 VESTIDO 1 PIEZA (4,6,8,10,12,14) MINT",21.00,15
11,"1717 VESTIDO 1 PIEZA (4,6,8,10,12) AZUL",21.00,15
12,"1844 VESTIDO 1 PIEZA (4,6,8,10,12,14) MULTICOLOR",23.80,17
12,"9374 (1 SET 4,6,8,10,12,14) NEGRO/LEOPARDO",21.00,15
12,"B007 (1 SET 4,6,8,10,12,14) IVORY/LEOPARDO",21.00,15
13,"9110 (1 SET 4,6,8,10,12,14) CUADROS",23.80,17
13,"1647 CONJUNTO 3PIEZAS (12,14) NEGRO/RED",28.00,20
13,"9273 (1 SET 4,6,8,10,12,14) CORAL/LEOPARDO",21.00,15
13,"9165 CONJUNTO 3PIEZAS (4,6,8,10,12,14) RED/LEOPARDO",28.00,20
14,"C005 VESTIDO 1 PIEZA (4,6,8,10,12,14) CORAL",23.80,17
14,"9112 (1 SET 4,6,8,10,12,14,16) CORAL",22.40,16
14,"0010- VESTIDO 1 PIEZA (4,6,8,10,12,14) CORAL",23.80,17
15,"2938 CONJUNTO 3 PIEZAS (4,6,8,10,12,14)AZUL",25.20,18
15,"L015 VESTIDO 1PIEZA (2,3,4) MULTICOLOR",11.20,8
15,"1004 VESTIDO 1PIEZA (4,6,8,10,12,14) MINT",21.00,15
15,"9040 (1 SET SIZES 4,6,8,10,12,14,16) IVORY/PINK",22.40,16
16,"LN69 VESTIDO 1PIEZA (5,6,6X) MULTICOLOR",11.20,8
16,"1005 VESTIDO 1PIEZA (4,6,8,10,12,14) CORAL/IVORY",23.80,17
16,"932 (1SET SIZES 4,6,8,10,12,14) BLANCO/BURGANDY",25.20,18
17,"300 CHALECO 1PIEZA (4,6,8,10,12,14) IVORY",9.80,7
17,"1007 VESTIDO 1PIEZA (4,6,8,10,12,14) CORAL",18.20,13
17,"1846 VESTIDO 1PIEZA (4,6,8,10,12) VERDE",23.80,17
17,"1006 VESTIDO 1PIEZA (4,6,8,10,12,14) IVORY/ROYAL",21.00,15
18,"8145 BLUSA (6,8,10,12,14) ROYAL BLUE",15.40,11
18,"K01 PANTALON (4,6,8,10,12,14) NAVY",11.20,8
18,"WIZARDS BLUSA (M,L) BLANCO",7.00,5
18,"1159 LEGGINS (S/M,L/XL) NAVY",7.00,5
18,"468 BLUSA (4,6,8,10,12,14) CORAL",15.40,11
18,"G002 LEGGINS (S,M,L) NEGRO",4.20,3
18,"477 BLUSA (2,4,6,8,10,12,14) AZUL",16.80,12
18,"963 LEGGINS (S/M,L/XL) NEGRO",7.00,5
19,"M1157 BLUSA (4,6,8,10,12,14) AQUA",16.80,12
19,"0102- LEGGINS (S/M,L/XL) NEGRO/BLANCO",7.00,5
19,"9172 BLUSA (4,6,8,10,12,14) CORAL",15.40,11
19,"1159 LEGGINS (S/M,L/XL) NAVY",7.00,5
19,"9211 (1 SET SIZES 4,6,8,10,12,14) CUADROS",23.80,17
19,"724 PANTALON (S/M,L/XL) COLORES",7.00,5
19,"B844 BLUSA (4,6,8,10,12) BLANCO",15.40,11
20,"8108 BLUSA (4,6,8,10,12,14) BEIGE",14.00,10
20,"5019 LEGGINS (S/M,L/XL) LEOPARDO",7.00,5
20,"411 (1 SET 4,6,8,10,12) LEOPARDO",26.60,19
20,"1463 CONJUNTO 3 PIEZAS (4,6,8,10,12,14) CAFÉ",25.20,18
20,"2230 BLUSA (4,6,8,10,12) BLANCO",16.80,12
20,"585 LEGGINS (S/M,L/XL) MULTICOLOR",7.00,5
21,"8145 BLUSA (4,6,8,10,12,14) TEAL",15.40,11
21,"K11 PANTALON (4,6,8,10) AZUL",11.20,8
21,"2232 BLUSA (4,6,8,10,12) NEGRO",16.80,12
21,"932 LEGGINS (S/M,L/XL) COLORES",7.00,5
21,"478 BLUSA (2,4,6,8,10,12,14) CORAL",16.80,12
21,"G002 LEGGINS (S,M,L) NEGRO",4.20,3
22,"B844 BLUSA (4,6,8,10,12) BLANCO",15.40,11
22,"932 LEGGINS (S/M,L/XL) FLOREADO",7.00,5
22,"F813 BLUSA (6,8,10,12,14) FUCSHIA",14.00,10
22,"1186 LEGGINS (S/M,L/XL) MULTICOLOR",7.00,5
22,"R8145 BLUSA (6,8,10,12,14) ROJO",15.40,11
22,"G002 LEGGINS (S,M,L) NEGRO",4.20,3
22,"420 BLUSA (4,6,8,10,12,14) RAYAS",15.40,11
22,"G002 LEGGINS (S,M,L) NEGRO",4.20,3
23,"B844 BLUSA (4,6,8,10,12) BLANCO",15.40,11
23,"932 LEGGINS (S/M,L/XL) MULTICOLOR",7.00,5
23,"421 BLUSA (4,6,8,10,12,14) ORANGE",15.40,11
23,"315 PANTALON (6,8,10) AZUL",11.20,8
23,"R413 (1 SET SIZES 4,6,8,10,12,14) NAVY",25.20,18
23,"8123 BLUSA (4,6,8,10,12,14) ROJO",15.40,11
23,"G002 LEGGINS (S,M,L) NEGRO",4.20,3
24,"457 BLUSA (4,6,8,10,12,14) AZUL",16.80,12
24,"K85 PANTALON (4,6,8,10) BLACK",11.20,8
