PAGINA,DESCRIPCION,PRECIO
2,"51260 SACO S,M,L,XL BLANCO",16.64
2,"51229 VESTIDO S,M,L,XL BLANCO/NEGRO",26.88
3,"51237 VESTIDO S,M,L,XL ROYAL BLUE",26.88
4,"51234 VESTIDO S,M,L,XL UNICO",26.88
5,"51294 VESTIDO S,M,L,XL BLANCO",26.88
6,"8323 VESTIDO S,M,L,XL NEGRO/BLANCO",26.88
7,"51241 VESTIDO S,M,L,XL BLANCO/NEGRO",26.88
8,"51242 VESTIDO S,M,L,XL UNICO",26.88
9,"51236 VESTIDO S,M,L,XL UNICO",26.88
9,"51145 SACO S,M,L,XL BLANCO/NEGRO",17.92
10,"8321 VESTIDO S,M,L,XL BLANCO",26.88
11,"8314 VESTIDO S,M,L,XL ROYAL BLUE",26.88
12,"51291 SET FALDA Y BLUSA S,M,L,XL FUCSIA",26.88
13,"4981 VESTIDO S,M,L,XL NEGRO",12.8
14,"51235 VESTIDO S,M,L,XL NEGRO",23.04
15,"51208 VESTIDO S,M,L,XL,2XL ANARANJADO",37.12
16,1408 SET DE COLLAR Y ARETES UNITALLA BURGANDY,7.68
16,"8110 CHAMARRA DE MEZCLILLA S,M,L",20.48
16,"4979 VESTIDO S,M,L,XL NEGRO",23.04
17,"51230 VESTIDO S,M,L,XL AZUL TURQUEZA",26.88
18,"51094 SACO S,M,L TAUPE",17.92
18,"51307 VESTIDO S,M,L NEGRO/BLANCO",26.88
19,"51244 VESTIDO S,M,L,XL,2XL,3XL ROYAL BLUE",44.8
20,"51292 VESTIDO S,M,L,XL ROYAL BLUE",26.88
21,"51238 VESTIDO S,M,L,XL NEGRO",26.88
22,"51209 VESTIDO S,M,L,XL,2XL BLANCO/NEGRO",47.36
23,"5789 VESTIDO S,M,L,XL BURGANDY",23.04
24,"51119 VESTIDO S,M,L,XL TEAL BLUE",26.88
25,"51121 VESTIDO S,M,L,XL ROJO",26.88
26,"51239 VESTIDO S,M,L,XL VERDE OLIVO",26.88
27,"51204 VESTIDO S,M,L,XL NEGRO/DORADO",55.04
28,"51201 VESTIDO S,M,L,XL NEGRO/DORADO",49.92
29,"51205 VESTIDO S,M,L,XL,2XL IVORY",46.08
30,"51200 VESTIDO S,M,L,XL,2XL,3XL NAVY",55.04
31,"51257 VESTIDO S,M,L,XL ROSA",29.44
32,"51258 VESTIDO S,M,L,XL VERDE",33.28
33,"51219 VESTIDO S,M,L,XL TAUPE",30.72
34,"51259 VESTIDO S,M,L,XL BURGANDY",26.88
35,"51256 VESTIDO S,M,L,XL SILVER",38.4
36,"51246 VESTIDO S,M,L,XL,2XL,3XL ROJO",55.04
37,"51207 VESTIDO S,M,L,XL,2XL,3XL DORADO",62.72
38,"51206 VESTIDO S,M,L,XL,2XL,3XL ROYAL BLUE",47.36
39,"51247 VESTIDO S,M,L,XL,2XL,3XL NAVY",40.96
40,"51231 VESTIDO S,M,L,XL,2XL ROJO",46.08
41,"51211 VESTIDO S,M,L,XL,2XL VERDE",46.08
42,"8345 VESTIDO S,M,L,XL,2XL,3XL NAVY",49.92
43,"51245 VESTIDO S,M,L,XL,2XL,3XL NEGRO/TAUPE",53.76
44,"51353 VESTIDO M,L,1XL,2XL ROJO",32
44,"51356 VESTIDO M,L,XL,2XL,3XL ROYAL BLUE",30.72
45,"51354 VESTIDO M,L,1XL,2XL MORADO",32
45,"51357 VESTIDO M,L,XL,2XL,3XL BABYBLUE",30.72
46,"51202 VESTIDO S,M,L,XL,2XL MORADO",58.88
47,"51254 VESTIDO S,M,L,XL NEGRO/ROSA",56.32
48,"51293 VESTIDO S,M,L,XL NEGRO/SILVER",34.56
49,"51210 VESTIDO S,M,L,XL,2XL IVORY",62.72
50,"51253 VESTIDO S,M,L,XL ROSA",53.76
51,"1251 VESTIDO S,M,L,XL NEGRO/DORADO",48.64
52,"51255 VESTIDO S,M,L,XL ROYALBLUE",55.04
53,"51308 VESTIDO S,M,L,XL NEGRO",61.44
54,"51199 VESTIDO S,M,L,XL,2XL NAVY",53.76
55,"7568 VESTIDO S,M,L,XL UNICO",46.08
56,"51174 BLUSA S,M,L,XL IVORY",15.36
56,"51177 FALDA S,M,L,XL BURGANDY",15.36
57,"51153 BLUSA S,M,L,XL AMARILLO",15.36
57,"51156 FALDA S,M,L,XL BEIGE",15.36
