PÁGINA,MODELO,PRECIO,CREDITO,CLAVE,CONTADO
1,"304-84 (30,32,34,36 y 38) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
1,"932-55 (S,M,L y XL) AZUL",16.99,25.49,9012990,14.99
2,"936-26 (S,M,L y XL) MULTICOLOR",15.99,23.99,9011990,13.99
2,"321-12 (30,32,34,36 y 38) AZUL",32.99,49.49,9026990,30.99
3,"992-16 (S,M,L y XL) NEGRO",26.99,40.49,9021990,24.99
4,"992-16 (S,M,L y XL) NEGRO",26.99,40.49,9021990,24.99
4,"927-07 (S,M,L y XL) ROJO",15.99,23.99,9011990,13.99
5,"304-84 (30,32,34,36 y 38) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
5,"992-15 (S,M,L y XL) GRIS/AZUL",27.99,41.99,9022990,25.99
6,"970-45 (30,32,34,36 y 38) AZUL INDIGO",36.99,55.49,9029990,34.99
6,"961-11 (S,M,L y XL) MULTICOLOR",15.99,23.99,9011990,13.99
7,"122-06 (S,M,L y XL) NEGRO/AZUL",16.99,25.49,9012990,14.99
7,"992-16 (S,M,L y XL) NEGRO",26.99,40.49,9021990,24.99
8,825-24 (S/M y L/XL) MULTICOLOR,17.99,26.99,9013990,15.99
8,"932-43 (30,32,34,36 y 38) KAQUI",24.99,37.49,9019990,22.99
8,"939-27 (S,M,L y XL) AZUL MARINO/BLANCO",29.99,44.99,9023990,27.99
9,730-33 (S/M y L/XL) AZUL MARINO,13.99,20.99,9009990,11.99
9,"970-45 (30,32,34,36 y 38) AZUL INDIGO",36.99,55.49,9029990,34.99
10,"115-30 (S,M,L y XL) NEGRO/GRIS",46.99,70.49,9038990,44.99
10,"970-45 (30,32,34,36 y 38) AZUL INDIGO",36.99,55.49,9029990,34.99
10,"929-42 (S,M,L y XL) AZUL",27.99,41.99,9022990,25.99
11,"981-34 (30,32,34,36 y 38) TINTO",32.99,49.49,9026990,30.99
11,"966-16 (S,M,L y XL) NEGRO",18.99,28.49,9014990,16.99
12,"817-29 (S,M,L y XL) MOSTAZA",19.99,29.99,9015990,17.99
12,"304-84 (30,32,34,36 y 38) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
13,"970-45 (30,32,34,36 y 38) AZUL INDIGO",36.99,55.49,9029990,34.99
13,"966-16 (S,M,L y XL) ROJO",18.99,28.49,9014990,16.99
14,"817-31 (S,M,L y XL) TEAL",19.99,29.99,9015990,17.99
14,"970-45 (30,32,34,36 y 38) AZUL INDIGO",36.99,55.49,9029990,34.99
