PAGINA,DESCRIPCION,PRECIO,SUGERIDO,CLAVE,CONTADO
2,145-03 (7 al 11.5) NEGRO,41.02,61.53,9033938,39.02
2,602-01 (7 al 12) MIEL,44.08,66.12,9036598,42.08
2,072-30 (7 al 11) AZUL,45.09,67.64,9037478,43.09
4,603-01 (7 al 11.5) MIEL,49.29,73.94,9041138,47.29
4,"108-07 Limpiador para Ante, Nobuck y Gamuza",5.44,8.16,9002998,3.44
4,569-80 (7 al 11.5) NEGRO,45.78,68.67,9038078,43.78
4,569-80 (7 al 11.5) SHEDRON,45.78,68.67,9038078,43.78
5,145-05 (7 al 11) NEGRO,52.98,79.47,9044338,50.98
6,190-02 (7 al 12) CAFÉ,57.05,85.58,9047878,55.05
6,190-01 (7 al 12) MIEL,61.19,91.79,9051478,59.19
7,145-04 (7 al 11.5) CAFÉ,53.05,79.57,9044398,51.05
8,079-06 (7 al 11 Enteros) MIEL,58.79,88.19,9049398,56.79
8,"108-07 Limpiador para Ante, Nobuck y Gamuza",5.44,8.16,9002998,3.44
10,021-04 (7 al 11.5) NEGRO,58.04,87.06,9048738,56.04
10,021-04 (7 al 11.5) CAFÉ,58.04,87.06,9048738,56.04
12,248-01 (7 al 11.5) ARENA,28.67,43.00,9023198,26.67
12,146-06 (7 al 11.5) NEGRO,47.23,70.84,9039338,45.23
14,569-72 (7 al 11.5) TOPO,60.96,91.44,9051278,58.96
14,356-13 (7 al 12) SHEDRON,44.39,66.59,9036878,42.39
14,"108-07 Limpiador para Ante, Nobuck y Gamuza",5.44,8.16,9002998,3.44
15,Combo 993 (7 al 11.5) Calzado y Cinturón ,53.28,79.92,9044598,51.28
16,021-10 (7 al 11.5) NEGRO,42.93,64.39,9035598,40.93
16,021-10 (7 al 11.5) TABACO,42.93,64.39,9035598,40.93
16,"741-15 (S, M, L) TABACO",21.47,32.20,9016938,19.47
18,356-16 (7 al 12) VINO,36.58,54.87,9030078,34.58
18,356-15 (7 al 12) SHEDRON,36.58,54.87,9030078,34.58
18,354-44 (7 al 12) NEGRO,49.29,73.94,9041138,47.29
20,307-03 (7 al 11.5) NEGRO,33.04,49.56,9026998,31.04
20,356-14 (7 al 12) SHEDRON,36.03,54.05,9029598,34.03
22,079-07 (7 al 11) CAFÉ,42.79,64.19,9035478,40.79
22,Combo 996 (7 al 11.5) Calzado y Cinturón ,60.79,91.19,9051138,58.79
22,"055-01 (S, M, L) NEGRO",21.47,32.20,9016938,19.47
22,586-02 (7 al 11.5) NEGRO,51.67,77.50,9043198,49.67
24,021-06 (7 al 11.5) NEGRO,44.39,66.59,9036878,42.39
24,Combo 994 (7 al 11.5) Calzado y Cinturón ,54.36,81.54,9045538,52.36
24,"149-02 (S, M, L) NEGRO",21.17,31.76,9016678,19.17
24,021-07 (7 al 11.5) MIEL,46.54,69.81,9038738,44.54
26,560-04 (7 al 11) NEGRO,36.42,54.63,9029938,34.42
26,079-08 (7 al 12) NEGRO,33.04,49.56,9026998,31.04
26,307-05 (7 al 11.5) NEGRO,33.04,49.56,9026998,31.04
28,534-12 (7 al 12) NEGRO,45.62,68.43,9037938,43.62
28,534-12 (7 al 12) VINO,45.62,68.43,9037938,43.62
28,551-30 (7 al 12) NEGRO,35.66,53.49,9029278,33.66
30,582-01 (7 al 11) NEGRO,37.96,56.94,9031278,35.96
30,307-07 (7 al 11.5) AZUL,37.96,56.94,9031278,35.96
30,021-09 (7 al 11.5) ROJO,46.29,69.44,9038538,44.29
32,569-76 (7 al 11.5) TABACO,47.92,71.88,9039938,45.92
32,"113-20 (S, M, L) TABACO",25.68,38.52,9020598,23.68
32,Combo 982 (7 al 11.5) Calzado y Cinturón ,60.96,91.44,9051278,58.96
32,021-08 (7 al 11.5) AZUL MARINO,48.89,73.34,9040798,46.89
34,569-77 (7 al 11.5) NEGRO,47.92,71.88,9039938,45.92
34,579-07 (7 al 12) AZUL MEZCLILLA,37.96,56.94,9031278,35.96
34,603-02 (7 al 11.5) CAFÉ,36.12,54.18,9029678,34.12
36,569-78 (7 al 11.5) MARINO,46.38,69.57,9038598,44.38
36,"108-07 Limpiador para Ante, Nobuck y Gamuza",5.44,8.16,9002998,3.44
36,307-06 (7 al 12) NEGRO,38.99,58.49,9032198,36.99
37,260-06 (8 al 12) MIEL,32.28,48.42,9026338,30.28
38,581-05 (7 al 11.5) AZUL,40.56,60.84,9033538,38.56
38,581-05 (7 al 11.5) ARENA,40.56,60.84,9033538,38.56
38,260-06 (8 al 12) NEGRO,32.28,48.42,9026338,30.28
40,611-08 (7 al 11.5) AZUL MARINO,30.59,45.89,9024878,28.59
40,"149-01 (S, M, L) MIEL",21.17,31.76,9016678,19.17
40,Combo 995 (7 al 11) Calzado y Cinturón ,50.68,76.02,9042338,48.68
40,570-02 (7 al 11) MIEL,40.09,60.14,9033138,38.09
42,513-59 (7 al 12) AVELLANA,41.87,62.81,9034678,39.87
42,589-03 (7 al 12) SHEDRON,49.37,74.05,9041198,47.37
42,568-37 (7 al 11) AZUL MARINO,36.79,55.19,9030278,34.79
44,560-03 (7 al 11) CHOCOLATE,39.79,59.69,9032878,37.79
44,267-01 (7 al 11.5) NEGRO,39.79,59.69,9032878,37.79
44,188-01 (7 al 12) CHOCOLATE,47.46,71.19,9039538,45.46
46,520-39 (7 al 12) MIEL,49.14,73.71,9040998,47.14
46,578-01 (7 al 11 Enteros) SHEDRON,43.69,65.54,9036278,41.69
46,188-02 (7 al 12) MUSGO,47.85,71.78,9039878,45.85
48,567-03 (7 al 11.5) MIEL,38.99,58.49,9032198,36.99
48,578-02 (7 al 11 Enteros) CHOCOLATE,36.88,55.32,9030338,34.88
48,604-04 (7 al 11 Enteros) CAFÉ,32.58,48.87,9026598,30.58
50,062-05 (7 al 12) ROJO,23.15,34.72,9018398,21.15
50,496-02 (7 al 12) NEGRO DESLAVADO,20.32,30.48,9015938,18.32
50,496-03 (7 al 12) MARINO,20.62,30.93,9016198,18.62
52,003-20 (7 al 11) ROJO FRESA,31.19,46.79,9025398,29.19
52,568-34 (7 al 11) MARINO,31.89,47.83,9025998,29.89
52,585-05 (7 al 11) CAMEL,33.27,49.90,9027198,31.27
54,220-01 (7 al 11) MEZCLILLA,30.89,46.34,9025138,28.89
54,588-10 (7 al 11) CAFÉ,35.34,53.01,9028998,33.34
54,588-10 (7 al 11) AZUL,35.34,53.01,9028998,33.34
56,505-75 (7 al 11.5) ARENA,31.43,47.14,9025598,29.43
56,003-20 (7 al 11) VINO,31.19,46.79,9025398,29.19
56,585-08 (7 al 12) AZUL MARINO,32.28,48.42,9026338,30.28
57,003-21 (7 al 12) MEZCLILLA,31.06,46.59,9025278,29.06
58,003-21 (7 al 12) MEZCLILLA NEGRA,31.06,46.59,9025278,29.06
58,006-01 (7 al 11) NEGRO,29.98,44.97,9024338,27.98
60,585-07 (7 al 11) CAMEL,32.28,48.42,9026338,30.28
60,308-51 (7 al 11) NEGRO/AZUL,33.36,50.04,9027278,31.36
60,308-50 (7 al 11) MARINO,32.28,48.42,9026338,30.28
61,585-09 (7 al 11) ROJO,33.04,49.56,9026998,31.04
62,585-06 (7 al 11) MARINO,32.58,48.87,9026598,30.58
62,585-10 (7 al 11) BLANCO,32.58,48.87,9026598,30.58
62,585-10 (7 al 11) NEGRO,32.58,48.87,9026598,30.58
64,505-73 (7 al 11.5) MARINO,31.82,47.73,9025938,29.82
64,505-73 (7 al 11.5) ROJO,31.82,47.73,9025938,29.82
64,568-29 (7 al 11) NEGRO,31.82,47.73,9025938,29.82
66,585-11 (7 al 12) AZUL MEZCLILLA,33.36,50.04,9027278,31.36
66,068-19 (7 al 11) NEGRO,31.06,46.59,9025278,29.06
66,585-12 (7 al 12) CAMEL,34.49,51.74,9028278,32.49
68,572-07 (7 al 12) NEGRO,32.58,48.87,9026598,30.58
68,308-52 (7 al 11) GRIS OXFORD,34.12,51.18,9027938,32.12
68,585-13 (7 al 12) MARINO,34.12,51.18,9027938,32.12
70,536-02 (7 al 11 Enteros) TAUPE,44.47,66.70,9036938,42.47
70,296-01 (7 al 11.5) OCRE,51.37,77.05,9042938,49.37
70,296-02 (7 al 11.5) CHOCOLATE,49.14,73.71,9040998,47.14
71,079-09 (7 al 12) NEGRO/CAFÉ,54.06,81.09,9045278,52.06
72,513-20 (7 al 11.5) CAFÉ,50.75,76.12,9042398,48.75
72,296-03 (7 al 11.5) OCRE,50.98,76.47,9042598,48.98
74,585-02 (7 al 11) MUSGO,44.08,66.12,9036598,42.08
74,588-02 (7 al 11) TANG,46.54,69.81,9038738,44.54
74,162-01 (7 al 11 Enteros) CAFÉ,48.45,72.67,9040398,46.45
75,313-20 (7 al 12) MIEL,47.92,71.88,9039938,45.92
76,577-01 (7 al 12) CAFÉ,56.49,84.74,9047398,54.49
78,518-30 (7 al 11) NEGRO,54.89,82.33,9045998,52.89
78,592-01 (7 al 11) NEGRO,44.69,67.04,9037138,42.69
79,010-06 (7 al 11) NEGRO,33.13,49.70,9027078,31.13
80,208-03 (7 al 11) AZUL REY,34.12,51.18,9027938,32.12
82,208-02 (7 al 11) GRIS/NEON,38.26,57.39,9031538,36.26
82,341-06 (7 al 11) NEGRO,31.06,46.59,9025278,29.06
82,141-01 (8 al 11.5) AZUL,35.73,53.59,9029338,33.73
84,195-01 (7 al 11) AZUL MARINO,32.58,48.87,9026598,30.58
84,369-37 (7 al 11) GRIS OXFORD,33.04,49.56,9026998,31.04
86,141-02 (8 al 11.5) BLANCO,31.82,47.73,9025938,29.82
86,369-36 (7 al 11) GRIS/AZUL,33.04,49.56,9026998,31.04
86,498-03 (7 al 11) VINO,32.44,48.66,9026478,30.44
88,208-01 (7 al 11) BLANCO,35.09,52.64,9028798,33.09
88,583-05 (7 al 11) ROJO,31.06,46.59,9025278,29.06
88,141-03 (8 al 11.5) AZUL REY,35.19,52.79,9028878,33.19
90,"Six Pack 305 (464-01) 7 al 11 Enteros Rojo,Negro,Amarillo",14.18,21.27,9010598,12.18
