PÁGINA,DESCRIPCION,PRECIO,CREDITO,CLAVE,CONTADO
1,"153-40 (S,M,L y XL) CEREZA",32.99,49.49,9026990,30.99
2,"932-37 (S,M,L y XL) AZUL TEAL",30.99,46.49,9024990,28.99
3,"914-09 (S,M,L y XL) NEGRO",14.99,22.49,9010990,12.99
3,"932-44 (S,M,L y XL) MORADO",27.99,41.99,9022990,25.99
4,"929-43 (S,M,L y XL) VERDE BOSQUE",27.99,41.99,9022990,25.99
4,"932-45 (S,M,L y XL) GRIS/NEGRO",18.99,28.49,9014990,16.99
5,"129-48 (S,M,L y XL) VERDE JADE",25.99,38.99,9020990,23.99
5,"905-07 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
6,"887-42 (S,M,L y XL) ESTAMPADO",34.99,52.49,9028990,32.99
7,"123-68 (S,M,L y XL) MULTICOLOR",25.99,38.99,9020990,23.99
8,"123-68 (S,M,L y XL) MULTICOLOR",25.99,38.99,9020990,23.99
8,"939-42 (S,M,L y XL) PALO DE ROSA",24.99,37.49,9019990,22.99
9,"179-51 (S,M,L y XL) AZUL MARINO",27.99,41.99,9022990,25.99
10,"790-21 (S,M,L y XL) PALO DE ROSA",30.99,46.49,9024990,28.99
10,"970-42 (5,7,9,11 y 13) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
11,"296-58 (S,M,L y XL) MULTICOLOR",29.99,44.99,9023990,27.99
12,"180-51 (S,M,L y XL) FIUSHA",32.99,49.49,9026990,30.99
13,"970-44 (5,7,9,11 y 13) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
14,"165-34 (S,M,L y XL) MORADO",27.99,41.99,9022990,25.99
14,"970-44 (5,7,9,11 y 13) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
15,"905-07 (S,M,L y XL) TINTO",25.99,38.99,9020990,23.99
15,"939-34 (S,M,L y XL) IVORY/ESTAMPADO",26.99,40.49,9021990,24.99
16,"150-01 (S,M,L y XL) TINTO",34.99,52.49,9028990,32.99
16,730-32 One Size ORO,11.99,17.99,9008990,9.99
17,396-43 (S/M y L/XL) TABACO,18.99,28.49,9014990,16.99
17,"929-48 (S,M,L y XL) VERDE",25.99,38.99,9020990,23.99
17,"970-43 (5,7,9,11 y 13) AZUL MEZCLILLA",34.99,52.49,9028990,32.99
18,"957-31 (S,M,L y XL) MEZCLILLA",30.99,46.49,9024990,28.99
18,"966-29 (S,M,L y XL) IVORY",15.99,23.99,9011990,13.99
18,"966-31 (S,M,L y XL) ARENA MULTICOLOR",23.99,35.99,9018990,21.99
19,"302-37 (S,M,L y XL) NEGRO",32.99,49.49,9026990,30.99
20,"302-37 (S,M,L y XL) NEGRO",32.99,49.49,9026990,30.99
20,"929-45 (S,M,L y XL) BUGAMBILIA",24.99,37.49,9019990,22.99
21,"185-11 (S,M,L y XL) NEGRO",36.99,55.49,9029990,34.99
22,"921-29 (S,M,L y XL) AZUL REY",32.99,49.49,9026990,30.99
23,"302-37 (S,M,L y XL) NEGRO",32.99,49.49,9026990,30.99
23,"929-29 (S,M,L y XL) IVORY",24.99,37.49,9019990,22.99
24,732-51 (S/M y L/XL) NEGRO,13.99,20.99,9009990,11.99
24,"905-07 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
24,"939-32 (S,M,L y XL) NEGRO BOLEADO",25.99,38.99,9020990,23.99
25,"932-51 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
26,"179-52 (S,M,L y XL) ROJO",18.99,28.49,9014990,16.99
26,"932-51 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
27,"165-32 (S,M,L y XL) IVORY/NEGRO",27.99,41.99,9022990,25.99
27,"251-86 (S,M,L y XL) ESTAMPADO",23.99,35.99,9018990,21.99
27,730-36 One Size ANTIMONIO,11.99,17.99,9008990,9.99
28,"948-18 (S,M,L y XL) NEGRO",33.99,50.99,9027990,31.99
29,"180-54 (S,M,L y XL) AZUL REY",33.99,50.99,9027990,31.99
29,730-32 One Size ORO,11.99,17.99,9008990,9.99
30,"302-36 (S,M,L y XL) ROJO",34.99,52.49,9028990,32.99
31,"914-10 (S,M,L y XL) ORO",21.99,32.99,9016990,19.99
32,"914-10 (S,M,L y XL) ORO",21.99,32.99,9016990,19.99
32,"932-61 (S,M,L y XL) NEGRO",26.99,40.49,9021990,24.99
33,"001-13 (S,M,L y XL) IVORY",33.99,50.99,9027990,31.99
33,"118-08 (5,7,9,11 y 13) AZUL MEZCLILLA",33.99,50.99,9027990,31.99
33,"966-29 (S,M,L y XL) ROJO",15.99,23.99,9011990,13.99
34,"932-34 (S,M,L y XL) TINTO",24.99,37.49,9019990,22.99
34,"966-30 (S,M,L y XL) MARINO",27.99,41.99,9022990,25.99
35,"932-51 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
35,"932-96 (S,M,L y XL) MORADO",19.99,29.99,9015990,17.99
36,"336-06 (S,M,L y XL) NEGRO",50.99,76.49,9042990,48.99
36,"905-07 (S,M,L y XL) NEGRO",25.99,38.99,9020990,23.99
36,"966-29 (S,M,L y XL) IVORY",15.99,23.99,9011990,13.99
37,"932-45 (S,M,L y XL) GRIS/NEGRO",18.99,28.49,9014990,16.99
38,"929-35 (S,M,L y XL) TINTO",24.99,37.49,9019990,22.99
38,"932-45 (S,M,L y XL) GRIS/NEGRO",18.99,28.49,9014990,16.99
39,"001-14 (S,M,L y XL) ROJO",30.99,46.49,9024990,28.99
