PAGINA,MODELO,PRECIO,
2,"273-66 (S,M,L,XL) MULTICOLOR",    26.99 ,
3,"304-66 (S,M,L,XL) MULTICOLOR",   21.99 ,
3,"970-40 (5,7,9,11,13) BLANCO",    30.99 ,
4,"209-13 (S,M,L,XL) AMARILLO",   26.99 ,
5,"088-03 (S,M,L,XL) AZUL MARINO",   15.99 ,
6,730-29 ONE SIZE ORO,    8.99 ,
6,"088-03 (S,M,L,XL) AZUL MARINO",     15.99 ,
6,"726-20 (S,M,L,XL) LIMA",   11.99 ,
7,"887-37 (S,M,L,XL) MULTICOLOR",    26.99 ,
7,612-15 (S/M Y L/XL) ORO/ANTIMONIO,    13.99 ,
8,"166-60 (S,M,L,XL) ROSA",     30.99 ,
9,"130-29 (S,M,L,XL) NARANJA",     28.99 ,
10,"921-28 (S,M,L,XL) BLANCO",     20.99 ,
10,"929-20 (S,M,L,XL) VERDE/AZUL",  20.99 ,
11,"812-13 (S,M,L,XL) MULTICOLOR",     17.99 ,
12,"212-27 (S,M,L,XL) MANDARINA",     23.99 ,
12,"812-13 (S,M,L,XL) MULTICOLOR",     17.99 ,
13,"792-10 (S,M,L,XL) MULTICOLOR",     18.99 ,
13,612-14 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
13,"939-23 (S,M,L,XL) FIUSHA",     18.99 ,
14,"130-23 (S,M,L,XL) JADE",     28.99 ,
15,"887-39 (S,M,L,XL) MULTICOLOR",    28.99 ,
16,"104-13 (S,M,L,XL) NARANJA",    26.99 ,
17,"118-06 (5,7,9,11,13) AZUL CLARO",     29.99 ,
18,"251-77 (S,M,L,XL) VERDE JADE",     14.99 ,
18,"118-06 (5,7,9,11,13) AZUL CLARO",     29.99 ,
19,"981-26 (5,7,9,11,13) AZUL",     25.99 ,
19,396-39 (S/M Y L/XL) ORO,     14.99 ,
19,"939-20 (S,M,L,XL) VERDE",    19.99 ,
20,"209-17 (S,M,L,XL) AMARILLO",     17.99 ,
20,"208-21 (5,7,9,11,13) AZUL MARINO",     25.99 ,
21,"970-39 (5,7,9,11,13) AZUL INDIGO",     29.99 ,
22,"751-08 (S,M,L,XL) ROSA NEON",     22.99 ,
22,"970-39 (5,7,9,11,13) AZUL INDIGO",   29.99 ,
23,"129-46 (S,M,L,XL) NARANJA",     22.99 ,
23,"990-15 (5,7,9,11,13) ARENA",     26.99 ,
24,"212-26 (S,M,L,XL) MULTICOLOR",     21.99 ,
24,"934-13 (5,7,9,11,13) CORAL",    29.99 ,
26,"209-16 (S,M,L,XL) NARANJA/NEON",     24.99 ,
27,"921-28 (S,M,L,XL) BLANCO",     20.99 ,
28,"921-28 (S,M,L,XL) BLANCO",    20.99 ,
28,"209-18 (S,M,L,XL) NARANJA",   15.99 ,
29,"118-05 (5,7,9,11,13) AZUL MEZCLILLA",    29.99 ,
30,"243-22 (S,M,L,XL) NARANJA/NEON",     18.99 ,
30,"118-05 (5,7,9,11,13) AZUL MEZCLILLA",     29.99 ,
31,"228-23 (S,M,L,XL) AZUL MEZCLILLA",     30.99 ,
32,"104-15 (S,M,L,XL) AMARILLO",     16.99 ,
32,"222-66 (S,M,L,XL) MULTICOLOR",     21.99 ,
33,"118-06 (5,7,9,11,13) AZUL CLARO",     29.99 ,
33,"510-09 (S,M,L,XL) BLANCO/NEGRO",    23.99 ,
34,"887-38 (S,M,L,XL) MULTICOLOR",     24.99 ,
35,"881-04 (5,7,9,11,13) BLANCO",    26.99 ,
36,"881-04 (5,7,9,11,13) BLANCO",    26.99 ,
36,"217-03 (S,M,L,XL) GRIS",     14.99 ,
37,"123-66 (S,M,L,XL) MULTICOLOR",    20.99 ,
37,"972-03 (S,M,L,XL) FIUSHA",     13.99 ,
38,"206-39 (S,M,L,XL) MEZCLILLA/ROSA",     24.99 ,
38,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
39,"792-10 (S,M,L,XL) MULTICOLOR",   18.99 ,
40,"792-10 (S,M,L,XL) MULTICOLOR",    18.99 ,
40,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
40,"938-18 (S,M,L,XL) NARANJA",    17.99 ,
41,"989-02 (S,M,L,XL) MULTICOLOR",    15.99 ,
41,"169-58 (5,7,9,11,13) AZUL CLARO",    23.99 ,
42,"790-19 (S,M,L,XL) GRIS",     21.99 ,
43,"462-04 (S,M,L,XL) NEGRO",    14.99 ,
44,"462-04 (S,M,L,XL) NEGRO",     14.99 ,
44,"304-65 (S,M,L,XL) BLANCO/GRIS",     22.99 ,
45,"228-22 (5,7,9,11,13) AZUL MEZCLILLA",     34.99 ,
45,"296-50 (S,M,L,XL) ROSA NEON",     13.99 ,
46,"123-64 (S,M,L,XL) MULTICOLOR",     24.99 ,
46,"981-28 (5,7,9,11,13) AZUL CIELO",    30.99 ,
48,"104-12 (S,M,L,XL) IVORY",    30.99 ,
49,"302-34 (S,M,L,XL) FIUSHA",     29.99 ,
50,"282-21 (S,M,L,XL) VERDE",    26.99 ,
51,"209-11 (S,M,L,XL) NEGRO",     23.99 ,
52,"209-11 (S,M,L,XL) NEGRO",     23.99 ,
52,"128-58 (S,M,L,XL) AZUL REY",     19.99 ,
53,"104-17 (S,M,L,XL) ROJO",     35.99 ,
54,999-01 (S/M Y L/XL) NEGRO,    22.99 ,
54,772-03 (S/M Y L/XL) NEGRO,     14.99 ,
55,"881-04 (5,7,9,11,13) BLANCO",     26.99 ,
55,"130-24 (S,M,L,XL) NARANJA",    20.99 ,
56,"088-04 (S,M,L,XL) AZUL MARINO",  28.99 ,
57,"103-25 (5,7,9,11,13) NEGRO",    22.99 ,
58,730-30 ONE SIZE NEGRO/ORO,     14.99 ,
58,"103-25 (5,7,9,11,13) NEGRO",    22.99 ,
58,"166-62 (S,M,L,XL) ANIMAL PRINT",     18.99 ,
59,"147-52 (S,M,L,XL) ROJO",     27.99 ,
60,"147-53 (S,M,L,XL) AZUL REY",     33.99 ,
61,"970-39 (5,7,9,11,13) AZUL INDIGO",     29.99 ,
61,"165-29 (S,M,L,XL) NEGRO",     22.99 ,
62,"130-26 (S,M,L,XL) NARANJA",     33.99 ,
63,"210-35 (5,7,9,11,13) AZUL INDIGO/ORO",     29.99 ,
