PAGINA,DESCRIPCION,PRECIO
1,BOLSO KRIS CAFE,23.50
1,BOLSO KRIS NEGRO,23.50
1,BOLSO DIVINE BLANCA,29.25
1,BOLSO DIVINE NEGRO,29.25
1,BOLSO IVANNA BEIGE,30.50
1,BOLSO IVANNA NEGRO,30.50
1,BOLSO IVANNA VINO,30.50
1,"Z11106 CAPU (7, 7.5, 8, 9)",49.99
1,"Z11156 NEGR (5.5, 6, 6.5, 7, 8, 9)",40.99
1,"Z11156 NUDE (6, 6.5, 7.5, 8, 9)",40.99
1,"Z11179 NEGR (5 , 5.5, 6, 6.5, 7, 7.5, 8, 9, 10)",29.99
1,"Z11182 BLAN (5 , 5.5, 6, 6.5, 7, 7.5, 8, 9, 10)",26.75
1,"Z11182 NEGR (5 , 5.5, 6.5, 7, 7.5, 8, 9)",26.75
1,"Z11189 NEGR (5 , 5.5, 6, 7, 8, 9)",26.75
1,"BOTA Z11196 CAFÉ (5.5, 6, 6.5, 7, 8)",49.99
1,"BOTA Z11196 NEGR (5.5 ,6 6.5, 7, 8, 9)",49.99
1,"BOTA Z11197 NEGR (5.5 , 6, 6.5, 7, 7.5, 8, 9, 10)",38.50
1,"BOTA Z11204 CAFÉ (5.5 , 6, 6.5, 7, 7.5, 8,9)",38.50
1,"BOTIN Z11212 TAUP (5.5 , 6, 6.5, 7, 7.5, 8, 9, 10)",34.50
1,"ZAP Z11227 NEGR (6 , 6.5, 7, 7.5, 8, 9, 10)",39.99
1,"ZAP Z11227 VINO (7 , 7.5, 8, 9)",39.99
1,"BOTA Z11234 CAFÉ (5.5 ,6, 6.5, 7, 7.5 ,8, 9, 10)",48.25
1,"BOTA Z11234 NEGR (6, 7, 7.5, 8,9)",48.25
1,"BOTA Z11235 NEGR (5.5, 6, 6.5, 7, 8, 9)",49.99
1,"BOTA Z11235 VINO (5.5, 6, 6.5, 7, 7.5, 9)",49.99
1,"BOTIN Z11258 CAFÉ (6, 6.5, 7, 7.5, 8)",34.50
1,"BOTIN Z11258 NEGR (6, 7, 8, 9)",34.50
1,"ZAP Z11263 NEGR (5, 5.5 6, 6.5, 7, 7.5, 8, 9)",15.99
1,"ZAP Z11263 NUDE (5, 6, 6.5, 7, 7.5, 8, 9)",15.99
