PAGINA,DESCRIPCION,PRECIO
1,BOLSO ILSA BLANCA (B10110-001),24.99
1,BOLSO MARLISSA AMARIL (B10111-002),28.50
1,BOLSO MARLISSA NEGRO (B10111-001),28.50
1,BOLSO SYLVIA NEGRO (B10130-001),28.50
1,BOLSO SYLVIA TAUPE (B10130-002),28.50
1,BOLSO ELBA CAFÉ (B10137-002),28.50
1,BOLSO ELBA NEGRO (B10137-001),28.50
1,BOLSO BARESI BEIGE (B10141-002),28.50
1,BOLSO BARESI CAFÉ (B10141-001),28.50
1,"ZAP Z10824 CAFÉ (5 ,5.5 ,6 ,6.5, 8 ,9, 10)",18.99
1,"Z10945 CORA (5 , 5.5, 6, 6.5, 7, 7.5, 8, 9)",18.99
1,"Z10945 NEGR (5.5, 6, 6.5, 8, 9)",18.99
1,"Z11111 CAFÉ (6, 7, 8, 9)",9.25
1,"Z11111 NEGR (6, 7, 8, 9, 10)",9.25
1,"Z11116 BGE (6, 8, 9)",10.99
1,"Z11116 NEGR (6, 7, 8)",10.99
1,"Z11118 BLAN (5, 6, 6.5, 7, 8, 9)",18.50
1,"Z11118 NEGR (5, 5.5, 6, 7, 8, 9)",18.50
1,"Z11122 BLAN (5, 6, 7, 8, 9,10)",11.75
1,"Z11122 NEGR (5, 6, 7, 8, 9, 10)",11.75
1,"Z11125 NEGR (7, 8,9,10)",10.25
1,"Z11127 CAFÉ (6, 7, 8, 9, 10)",10.25
1,"Z11127 NEGR (7, 8, 9)",10.25
1,"Z11136 NUDE (8 , 9)",11.75
