PAGINA,DESCRIPCION, PRECIO 
1,BOLSO PRISMA ORO (B10103-002),23.75
1,BOLSO MILTON CAFÉ (B10113-002),23.75
1,BOLSO LUCIANI FUSCHIA (B10116-002),23.75
1,BOLSO NICOLET FUSCHIA (B10118-003),23.75
1,BOLSO STEPHAN NEGRO (B10124-001),23.75
1,BOLSO VIKTORIA NEGRO (B10128-001),23.75
1,BOLSO HABANA CAFÉ (B10139-002),23.75
1,BOLSO HABANA NEGRO (B10139-001),23.75
1,WALLET W10005,11.75
1,WALLET W10006 CAFE,11.75
1,WALLET W10006 NEGRO,11.75
1,"ZAP Z10688 CAF (6, 6.5)",19.25
1,ZAP Z10688 NEG 6.5,19.25
1,"ZAP Z10712 CAFE (6 , 6.5)",17.75
1,"ZAP Z10712 ROJO (6, 6.5)",17.75
1,"Z10870 CAMEL (6.5,7)",19.25
1,"Z10870 NEGRO (6, 6.5, 7 , 7.5)",19.25
1,BOLSO VIERA CAFE,34.50
1,BOLSO VIERA VINO,34.50
1,BOLSO CLAUDET CAFE,22.50
1,BOLSO CLAUDET NEGRO,22.50
1,BOLSO BIANCHI CAFE,29.99
1,BOLSO BIANCHI NEGRO,29.99
1,BOLSO GALA NEGRO,23.75
1,BOLSO GALA VINO,23.75
1,"Z10550 CAFE ( 5, 5.5 , 6, 6.5 , 7, 7.5, 8, 9, 10)",31.50
1,"Z10550 NEG (5, 5.5, 6, 6.5, 7, 7.5, 8, 10)",31.50
1,"SAND Z10768 NEG (5, 5.5, 6, 6.5, 7, 8, 9,10)",32.25
1,"SAND Z10768 ROJ (5, 6, 9, 10)",32.25
1,"Z10898 NEGRO (6, 6.5, 7, 7.5, 8, 9, 10)",32.99
1,"Z10898 VINO (6, 6.5, 7, 7.5, 8, 9, 10)",32.99
1,"Z11010 FUIS (5, 5.5, 6, 6.5, 7, 7.5, 8, 9,10)",21.99
1,"Z11010 NEGR (5, 6, 6.5, 8, 9, 10)",21.99
1,"Z11054 NEGR(5, 5.5, 6, 6.5, 7, 7.5, 8,10)",36.25
1,"Z11054 VINO (5, 5.5, 6, 6.5 7, 7.5 8, 9,10)",36.25
1,"Z11170 MARI (5, 6, 6.5, 7, 7.5, 8, 9)",21.99
1,"Z11170 NEGR (5, 5.5, 6, 7, 7.5, 8, 9)",21.99
1,"Z11175 NEGR (6, 7, 7.5, 8, 9)",30.75
1,"Z11175 TAN (5.5, 6, 6.5 ,8, 9)",30.75
1,"Z11184 NEGR (5, 5.5, 6, 6.5, 7 ,7.5, 8, 9)",25.25
1,"BOTA Z11203 CAML (5.5, 6, 6.5, 7, 7.5, 8, 9,10)",37.50
1,"BOTA Z11205 NEGR (5.5, 6, 6.5 7, 7.5 ,8 , 9,10",45.99
1,"BOTA Z11205 VINO (5.5, 6, 6.5, 7, 7.5, 8, 9)",45.99
1,"BOTA Z11219 NEGR (5.5, 6, 6.5 ,7 ,7.5, 8 ,9)",45.99
1,"BOTA Z11236 NEGR (5.5, 6, 7, 7.5, 8, 9,10)",55.99
1,"ZAP Z11270 BRON (6, 6.5, 7, 7.5, 8, 9)",30.75
1,"ZAP Z11270 PLAT (5, 5.5, 6, 6.5, 7, 7.5, 8 ,9)",30.75
