PAGINA,DESCRIPCION,PRECIO
1,BOLSO LUCIANI FUSCHIA,22.25
1,BOLSO LUCIANI NEGRO,22.25
1,BOLSO NICOLET FUSCHIA,22.25
1,BOLSO NICOLET ORO,22.25
1,BOLSO FERRE BRONCE,22.25
1,BOLSO FERRE NEGRO,22.25
1,"ZAP Z10712 CAFE (5, 5.5, 6, 6.5, 7, 7.5)",15.99
1,"ZAP Z10712 ROJO (5,6 ,6.5, 7.5)",15.99
1,"ZAP Z10824 CAF- (5, 5.5, 6, 6.5, 8, 9, 10)",19.25
1,"ZAP Z10824 NEG-(5.5, 6, 6.5, 8, 9, 10)",19.25
1,"ZAP Z10826 ROSA-(6, 6.5, 7, 7.5)",19.99
1,"Z10870 CAMEL (6, 6.5, 7, 7.5)",22.99
1,"Z10870 NEGRO (6, 6.5, 7, 7.5)",22.99
1,"Z10876 NEGRO (6, 6.5, 7.5)",22.99
1,"Z10876 SHEDRON (6, 6.5, 7, 7.5)",22.99
1,"Z10895 NEGRO (6, 6.5, 7, 7.5, 8, 10)",22.99
1,"Z10918 NEGRO (6, 6.5, 7, 7.5, 9)",29.99
1,"Z10961 NEGR (5.5, 6, 6.5, 7, 7.5, 8, 9)",15.99
1,"Z10961 ROSA (6,6.5, 7, 7.5, 8, 9)",15.99
1,"Z10965 NEGR (5.5, 6, 7, 7.5)",15.99
1,"Z10985 NEGR (5, 5.5, 6, 6.5, 9)",22.25
1,"Z11011 CAFÉ (5, 5.5, 6, 6.5, 7, 8,9, 10)",15.25
1,"Z11011 NEGR (5, 6, 6.5, 7)",15.25
1,"Z11045 NEGR (5, 5.5, 6, 6.5, 7, 7.5, 8, 9)",19.99
1,"Z11053 MARR (5.5, 6, 6.5, 7, 7.5, 8)",22.99
1,"Z11053 NEGR (5,6, 6.5, 7, 7.5, 8, 9)",22.99
1,"Z11079 ORO (5.5, 6, 6.5, 7, 8, 10)",22.99
1,"Z11087 MARR (5.5, 6, 6.5, 7, 8, 9, 10)",21.99
1,"Z11104 NEGR (5, 5.5, 6, 6.5, 7, 7.5, 8, 9)",18.99
1,"Z11114 BLAN (6,7 , 8, 9,  10)",10.99
1,"Z11117 ROJO (6,7 ,8, 9)",11.50
1,"Z11123 NEGR (5, 6, 7, 8, 9, 10)",15.99
1,"Z11123 NUDE (5,6, 7, 8, 9, 10)",15.99
1,"Z11124 CAFÉ (6, 7, 8, 9, 10)",15.99
1,"Z11126 NEGR (7, 8, 9)",11.50
1,"Z11126 ORO (6, 7, 8, 9)",11.50
1,"Z11131 ZEBR (5,6, 7, 8, 9, 10)",15.25
1,"Z11173 NEGR (5, 5.5, 6, 7, 8, 9)",15.99
1,"Z11173 ORO (5, 5.5, 6, 6.5, 7, 7.5, 8, 9)",15.99
1,"Z11176 ROSA (5, 5.5, 6, 6.5, 7, 7.5, 8, 9)",15.99
