PAGINA,DESCRIPCION,PRECIO
1,BOLSO MILTON CAFE,22.99
1,BOLSO MILTON NEGRO,22.99
1,BOLSO FLORIAN ROSA,22.99
1,BOLSO VICENZA BEIGE,22.99
1,BOLSO VICENZA CAFE,22.99
1,BOLSO IBIZA MARINO,22.99
1,BOLSO IBIZA ROJO,22.99
1,"Z11005 LILA-6, 6.5 ,8",25.99
1,"Z11005 NEGR-5, 5.5, 6, 6.5, 7, 7.5, 8, 9",25.99
1,"Z11052 MARR-6, 6.5, 7, 8, 9",24.95
1,"Z11052 NEGR-5.5, 6, 6.5, 7, 8, 9, 10",24.95
1,"Z11105 MARR-5.5, 6, 6.5, 7, 8, 9",22.95
1,"Z11105 NEGR-5.5, 6, 6.5, 7, 7.5, 8, 9",22.95
1,"Z11111 CAFE-6, 7, 8, 9, 10",11.25
1,"Z11111 NEGR-6, 7, 8, 9, 10",11.25
1,"Z11118 NEGR-5, 5.5, 6, 6.5, 7, 7.5, 8, 9, 10",23.50
1,Z11119 NEGR-8,15.50
1,"Z11119 VINO-6, 7, 8, 9, 10",15.50
1,"Z11121 BGE-5, 7, 8, 9",11.25
1,"Z11121 NEGR-6, 7, 8, 9",11.25
1,"Z11122 BLAN-5, 6, 7, 8, 9, 10",14.50
1,"Z11122 NEGR-5, 6, 7, 8, 9, 10",14.50
1,"Z11127 CAFE-5, 6, 7, 8, 9, 10",13.50
1,"Z11127 NEGR-6, 7, 8, 9, 10",13.50
1,"Z11128 CORA-6, 7, 8, 9, 10",13.50
1,"Z11128 NEGR-6, 7, 8, 9, 10",13.50
1,"Z11137 BGE-6, 8",13.25
1,"Z11137 NEGR-6, 7, 8, 9",13.25
1,"Z11138 BGE-6, 7, 8, 9, 10",14.99
1,"Z11138 NEGR-6, 7, 8, 9, 10",14.99
1,"Z11140 BLAN-5.5, 6, 6.5, 7, 7.5, 8, 9, 10",29.95
1,"Z11140 NEGR-6, 6.5, 7, 7.5, 8, 9, 10",29.95
1,"Z11141 ORQU-5.5, 6, 6.5, 7, 7.5, 8",26.95
1,"Z11143 BLAN-5.5, 6, 6.5, 7, 8, 9, 10",29.95
1,"Z11143 NEGR-5.5, 6, 6.5, 7, 8, 9",29.95
1,"Z11144 BLAN-5, 5.5, 6, 6.5, 7, 7.5, 8, 9, 10",22.99
1,"Z11144 NEGR-5, 6, 6.5, 7, 7.5, 8, 9",22.99
1,"Z11145 NEGR-5.5, 6, 6.5, 7, 8, 9",26.50
1,"Z11145 ROJO-5.5, 6, 6.5, 7, 7.5, 8, 9",26.50
1,"Z11147 NEGR-5.5, 6, 7, 7.5, 8, 9",26.50
1,"Z11147 ROJO-5, 5.5, 6, 6.5, 7, 7.5, 8",26.50
1,"Z11149 NEGR-5.5, 6, 7, 7.5, 8, 9, 10",26.50
1,"Z11149 VINO-5, 6, 7, 7.5, 8, 9, 10",26.50
1,"Z11157 CAML-5, 5.5, 6, 6.5, 7, 7.5, 8",25.99
1,"Z11157 NEGR-5, 5.5, 6, 6.5, 7, 7.5, 8, 9",25.99
