PAGINA ,DESCRIPCION,PRECIO,SUGERIDO
1,OL 1-1,33,66
1,OL 1-2,9,18
1,OL 1-3,12,24
1,OL 1-4,18,36
1,OL 1-5,24,48
2,OL 2-1,25.5,51
2,OL 2-2,16.5,33
2,OL 2-3,15,30
2,OL 2-4,14.5,29
2,OL 2-5,14.5,29
2,OL 2-6,18,36
2,OL 2-7,16.5,33
2,OL 2-8,16.5,33
2,OL 2-9,15,30
2,OL 2-10,13.5,27
2,OL 2-11,13.5,27
2,OL 2-12,18,36
2,OL 2-13,15,30
2,OL 2-14,16.5,33
2,OL 2-15,15,30
2,OL 2-16,15,30
3,OL 3-1,22.5,45
3,OL 3-2,18,36
3,OL 3-3,16.5,33
3,OL 3-4,15,30
3,OL 3-5,9,18
3,OL 3-6,15,30
3,OL 3-7,15,30
3,OL 3-8,12,24
3,OL 3-9,10.5,21
3,OL 3-10,15,30
3,OL 3-11,12,24
3,OL 3-12,12,24
3,OL 3-13,12,24
3,OL 3-14,10.5,21
3,OL 3-15,6,12
3,OL 3-16,4.5,9
3,OL 3-17,6,12
4,OL 4-1,51,102
4,OL 4-2,45,90
4,OL 4-3,30,60
4,OL 4-4,30,60
4,OL 4-5,33,66
4,OL 4-6,33,66
4,OL 4-7,30,60
4,OL 4-8,33,66
4,OL 4-9,19.5,39
4,OL 4-10,19.5,39
4,OL 4-11,12,24
4,OL 4-12,12,24
4,OL 4-13,12,24
4,OL 4-14,12,24
5,OL 5-1,19.5,39
5,OL 5-2,33,66
5,OL 5-3,19.5,39
5,OL 5-4,19.5,39
5,OL 5-5,19.5,39
5,OL 5-6,19.5,39
5,OL 5-7,19.5,39
5,OL 5-8,19.5,39
6,OL 6-1,19.5,39
6,OL 6-2,19.5,39
6,OL 6-3,19.5,39
6,OL 6-4,19.5,39
6,OL 6-5,14.5,29
6,OL 6-6,14.5,29
6,OL 6-7,15,30
6,OL 6-8,15,30
7,OL 7-1,9,18
7,OL 7-2,9,18
7,OL 7-3,9,18
7,OL 7-4,19.5,39
7,OL 7-5,19.5,39
7,OL 7-6,39,78
7,OL 7-7,39,78
8,OL 8-1,12,24
8,OL 8-2,13.5,27
8,OL 8-3,90,180
8,OL 8-4,30,60
8,OL 8-5,27,54
8,OL 8-6,9,18
8,OL 8-7,7.5,15
8,OL 8-8,6,12
8,OL 8-9,9,18
8,OL 8-10,10.5,21
8,OL 8-11,10.5,21
8,OL 8-12,7.5,15
8,OL 8-13,9,18
8,OL 8-14,6,12
8,OL 8-15,9,18
8,OL 8-16,9,18
8,OL 8-17,9,18
8,OL 8-18,12,24
8,OL 8-19,9,18
8,OL 8-20,9,18
8,OL 8-21,9,18
8,OL 8-22,9,18
8,OL 8-23,12,24
8,OL 8-24,7.5,15
8,OL 8-25,7.5,15
8,OL 8-26,12,24
8,OL 8-27,12,24
8,OL 8-28,12,24
8,OL 8-29,12,24
8,OL 8-30,12,24
8,OL 8-31,13.5,27
8,OL 8-32,13.5,27
8,OL 8-33,13.5,27
8,OL 8-34,13.5,27
8,OL 8-35,15,30
9,OL 9-1,48,96
9,OL 9-2,18,36
9,OL 9-3,30,60
9,OL 9-4,39,78
9,OL 9-5,18,36
9,OL 9-6,21,42
9,OL 9-7,15,30
9,OL 9-8,14,28
9,OL 9-9,22.5,45
9,OL 9-10,30,60
9,OL 9-11,21,42
9,OL 9-12,24,48
9,OL 9-13,18,36
9,OL 9-14,15,30
9,OL 9-15,21,42
9,OL 9-16,12,24
9,OL 9-17,12,24
9,OL 9-18,30,60
9,OL 9-19,30,60
9,OL 9-20,18,36
9,OL 9-21,21,42
9,OL 9-22,18,36
9,OL 9-23,21,42
10,OL 10-1,9,18
10,OL 10-2,9,18
10,OL 10-3,9,18
10,OL 10-4,9,18
10,OL 10-5,7.5,15
10,OL 10-6,7.5,15
10,OL 10-7,7.5,15
10,OL 10-8,7.5,15
10,OL 10-9,7.5,15
10,OL 10-10,7.5,15
10,OL 10-11,7.5,15
10,OL 10-12,7.5,15
10,OL 10-13,7.5,15
10,OL 10-14,7.5,15
10,OL 10-15,7.5,15
10,OL 10-16,7.5,15
10,OL 10-17,7.5,15
10,OL 10-18,7.5,15
10,OL 10-19,7.5,15
10,OL 10-20,7.5,15
10,OL 10-21,7.5,15
10,OL 10-22,7.5,15
10,OL 10-23,7.5,15
10,OL 10-24,7.5,15
10,OL 10-25,9,18
10,OL 10-26,9,18
10,OL 10-27,10.5,21
10,OL 10-28,10.5,21
10,OL 10-29,10.5,21
10,OL 10-30,10.5,21
10,OL 10-31,9,18
10,OL 10-32,10.5,21
10,OL 10-33,18,36
10,OL 10-34,15,30
10,OL 10-35,15,30
10,OL 10-36,21,42
10,OL 10-37,10.5,21
11,OL 11-1,12,24
11,OL 11-2,12,24
11,OL 11-3,12,24
11,OL 11-4,12,24
11,OL 11-5,15,30
11,OL 11-6,15,30
11,OL 11-7,15,30
11,OL 11-8,7.5,15
11,OL 11-9,7.5,15
11,OL 11-10,7.5,15
11,OL 11-11,7.5,15
11,OL 11-12,7.5,15
11,OL 11-13,7.5,15
11,OL 11-14,7.5,15
11,OL 11-15,12,24
11,OL 11-16,13.5,27
11,OL 11-17,13.5,27
11,OL 11-18,18,36
11,OL 11-19,24,48
11,OL 11-20,18,36
11,OL 11-21,18,36
11,OL 11-22,21,42
11,OL 11-23,12,24
11,OL 11-24,12,24
11,OL 11-25,15,30
11,OL 11-26,15,30
11,OL 11-27,10.5,21
11,OL 11-28,18,36
11,OL 11-29,12,24
11,OL 11-30,12,24
11,OL 11-31,12,24
11,OL 11-32,12,24
11,OL 11-33,12,24
11,OL 11-34,15,30
11,OL 11-35,15,30
11,OL 11-36,13.5,27
11,OL 11-37,13.5,27
11,OL 11-38,12,24
11,OL 11-39,13.5,27
11,OL 11-40,13.5,27
11,OL 11-41,15,30
11,OL 11-42,13.5,27
12,OL 12-1,15,30
12,OL 12-2,15,30
12,OL 12-3,15,30
12,OL 12-4,16.5,33
12,OL 12-5,12,24
12,OL 12-6,13.5,27
12,OL 12-7,13.5,27
12,OL 12-8,13.5,27
12,OL 12-9,12,24
12,OL 12-10,21,42
12,OL 12-11,12,24
12,OL 12-12,12,24
12,OL 12-13,16.5,33
12,OL 12-14,12,24
12,OL 12-15,15,30
12,OL 12-16,12,24
12,OL 12-17,12,24
12,OL 12-18,15,30
12,OL 12-19,12,24
12,OL 12-20,13.5,27
12,OL 12-21,13.5,27
12,OL 12-22,18,36
12,OL 12-23,12,24
12,OL 12-24,7.5,15
12,OL 12-25,15,30
12,OL 12-26,15,30
12,OL 12-27,12,24
12,OL 12-28,7.5,15
12,OL 12-29,12,24
12,OL 12-30,10.5,21
12,OL 12-31,10.5,21
12,OL 12-32,10.5,21
12,OL 12-33,15,30
12,OL 12-34,7.5,15
13,OL 13-1,63,126
