PAGINA,DESCRIPCION,PRECIO,,,,,,
2,REG100 REGINA FULL,96.50,,,,,,
2,REG100 REGINA QUEEN,96.50,,,,,,
2,REG100 REGINA KING,110.50,,,,,,
2,REG101 CORTINAS REGINA,28.50,,,,,,
2,REG102 JUEGO DE SABANAS REGINA FULL,34.99,,,,,,
2,REG102 JUEGO DE SABANAS REGINA QUEEN,34.99,,,,,,
2,REG102 JUEGO DE SABANAS REGINA KING,41.99,,,,,,
3,REG100 REGINA FULL,96.50,,,,,,
3,REG100 REGINA QUEEN,96.50,,,,,,
3,REG100 REGINA KING,110.50,,,,,,
3,REG101 CORTINAS REGINA,28.50,,,,,,
3,REG102 JUEGO DE SABANAS REGINA FULL,34.99,,,,,,
3,REG102 JUEGO DE SABANAS REGINA QUEEN,34.99,,,,,,
3,REG102 JUEGO DE SABANAS REGINA KING,41.99,,,,,,
4,SIE100 SIENNA FULL,114.99,,,,,,
4,SIE100 SIENNA QUEEN,125.99,,,,,,
4,SIE100 SIENNA KING,136.99,,,,,,
4,SIE101 CORTINAS SIENNA,28.50,,,,,,
5,SIE100 SIENNA FULL,114.99,,,,,,
5,SIE100 SIENNA QUEEN,125.99,,,,,,
5,SIE100 SIENNA KING,136.99,,,,,,
5,SIE101 CORTINAS SIENNA,28.50,,,,,,
6,EXC100 EXCELENCIA FULL,110.99,,,,,,
6,EXC100 EXCELENCIA QUEEN,125.99,,,,,,
6,EXC100 EXCELENCIA KING,136.50,,,,,,
6,EXC101 CORTINAS EXCELENCIA,28.50,,,,,,
6,EXC102 JUEGO DE SABANAS EXCELENCIA FULL,34.99,,,,,,
6,EXC102 JUEGO DE SABANAS EXCELENCIA QUEEN,36.99,,,,,,
6,EXC102 JUEGO DE SABANAS EXCELENCIA KING,41.99,,,,,,
7,EXC100 EXCELENCIA FULL,110.99,,,,,,
7,EXC100 EXCELENCIA QUEEN,125.99,,,,,,
7,EXC100 EXCELENCIA KING,136.50,,,,,,
7,EXC101 CORTINAS EXCELENCIA,28.50,,,,,,
7,EXC102 JUEGO DE SABANAS EXCELENCIA FULL,34.99,,,,,,
7,EXC102 JUEGO DE SABANAS EXCELENCIA QUEEN,36.99,,,,,,
