PAGINA,DESCRIPCION,PRECIO,CLAVE MX,CONTADO MX,CRÉDITO MX
4,007-470 (7 - 11) VINO, 60.00 ,SV69800U, 810.00 , 879.99 
4,007-585 (7 - 12) CAFÉ, 60.00 ,BE69800M, 810.00 , 879.99 
4,007-599 (7 - 11) CAFÉ, 64.80 ,EV75400V, 875.00 , 949.99 
6,007-583 (7 - 11) MIEL, 54.60 ,HZ63500P, 737.00 , 799.99 
6,007-597 (7 - 11) GRIS, 54.60 ,UD63500Y, 737.00 , 799.99 
6,007-600 (7 - 11) NEGRO, 60.00 ,PM69800K, 810.00 , 879.99 
8,007-468 (7 - 11) MIEL, 44.40 ,SQ51600Z, 599.00 , 649.99 
8,007-520 (7 - 11) AZUL, 44.40 ,BH51600X, 599.00 , 649.99 
8,007-927 (S - L) CAFÉ, 17.00 ,VQ19800C, 230.00 , 249.99 
8,007-956 (7 - 12) CAFÉ, 60.00 ,OB69800W, 810.00 , 879.99 
10,007-529 (7 - 11) MARINO, 30.70 ,CP35700Ñ, 415.00 , 449.99 
10,007-529 (7 - 11) ROJO, 30.70 ,CP35700Ñ, 415.00 , 449.99 
10,"007-936 (4Y - 5Y, 6M - 11M) MIEL", 30.70 ,HR35700Z, 415.00 , 449.99 
11,007-472 (7 - 11) ARENA, 49.80 ,FT57900W, 672.00 , 729.99 
11,007-577 (7 - 11) NEGRO, 41.00 ,NÑ47600H, 553.00 , 599.99 
11,007-577 (7 - 11) MARINO, 41.00 ,NÑ47600H, 553.00 , 599.99 
12,005-897 (8-11) CHOCOLATE, 29.30 ,VN34100K, 396.00 , 429.99 
12,006-455 (7 - 12) MIEL, 37.60 ,KP43700W, 507.00 , 549.99 
12,006-455 (7 - 12) NEGRO, 37.60 ,KP43700W, 507.00 , 549.99 
13,005-244 (7 - 12) MIEL, 54.60 ,BÑ63500H, 737.00 , 799.99 
14,005-244 (7 - 12) NEGRO, 53.30 ,DO61900F, 719.00 , 779.99 
14,007-517 (7 - 11) CAFÉ, 53.30 ,ÑN61900F, 719.00 , 779.99 
16,007-483 (S-L) GRIS, 14.70 ,YR17100F, 199.00 , 214.99 
16,007-519 (7 - 11) AZUL, 41.00 ,BK47600F, 553.00 , 599.99 
16,007-525 (7 - 11) VINO, 41.00 ,UB47600L, 553.00 , 599.99 
