PAGINA,DESCRIPCION,PRECIO,
1,SENSATION BLUSA,34.99,24.99
1,SENSATION CAPRI,34.99,24.99
1,SENSATION PANTALON,46.19,32.99
1,GLOW TOP,26.59,18.99
1,GLOW BLUSA,34.99,24.99
1,GLOW SHORT,29.39,20.99
1,GLOW CAPRI,34.99,24.99
1,GLOW PANTALON,46.19,32.99
1,RHYTHM BLUSA,34.99,24.99
1,RYTHM CAPRI,34.99,24.99
1,RYTHM PANTALON,46.19,32.99
1,SPIRIT TOP,26.59,18.99
1,SPIRIT BLUSA,34.99,24.99
1,SPIRIT SHORT,29.39,20.99
1,SPIRIT CAPRI,34.99,24.99
1,SPIRIT PANTALON,46.19,32.99
1,DREAM TOP,26.59,18.99
1,DREAM BLUSA,34.99,24.99
1,DREAM SHORT,29.39,20.99
1,DREAM CAPRI,34.99,24.99
1,DREAM PANTALON,46.19,32.99
1,SHINE BLUSA,34.99,24.99
1,SHINE CAPRI,34.99,24.99
1,SHINE PANTALON,46.19,32.99
1,BLOOM BLUSA,34.99,24.99
1,BLOOM CAPRI,34.99,24.99
1,BLOOM PANTALON,46.19,32.99
1,CONTROL BLUSA,34.99,24.99
1,CONTROL SHORT,29.39,20.99
1,CONTROL CAPRI,36.39,25.99
1,CONTROL PANTALON,46.19,32.99
1,MAGESTIC BLUSA,34.99,24.99
1,MAGESTIC CAPRI,34.99,24.99
1,MAGESTIC PANTALON,46.19,32.99
1,FLOW BLUSA,34.99,24.99
1,FLOW CAPRI,34.99,24.99
1,FLOW PANTALON,46.19,32.99
1,OCEAN BLUSA,34.99,24.99
1,OCEAN CAPRI,34.99,24.99
1,OCEAN PANTALON,46.19,32.99
1,SIMPHONY BLUSA,34.99,24.99
1,SIMPHONY CAPRI,34.99,24.99
1,SIMPHONY PANTALON,46.19,32.99
1,PACIFIC BLUSA,34.99,24.99
1,PACIFIC CAPRI,34.99,24.99
1,PACIFIC PANTALON,46.19,32.99
1,ACTIVE BLUSA,34.99,24.99
1,ACTIVE CAPRI,34.99,24.99
1,ACTIVE PANTALON,46.19,32.99
1,CHICK TOP,26.59,18.99
1,CHICK BLUSA,34.99,24.99
1,CHICK CAPRI,34.99,24.99
1,CHICK PANTALON,46.19,32.99
1,LIMIT BLUSA,34.99,24.99
1,LIMIT CAPRI,34.99,24.99
1,INFINITY BLUSA,34.99,24.99
1,INFINITY CAPRI,34.99,24.99
1,INFINITY PANTALON,46.19,32.99
1,ENERGY BLUSA,34.99,24.99
1,ENERGY CAPRI,34.99,24.99
1,ENERGY PANTALON,46.19,32.99
1,ENTERIZO ,60.19,42.99
1,BASICOS TOP,19.59,13.99
1,BASICOS BLUSA,27.99,19.99
1,BASICOS CAMISETA/Mangas,37.79,26.99
1,BASICOS SHORT,19.59,13.99
1,BASICOS CAPRI,32.19,22.99
1,BASICOS PANTALON,43.39,30.99
1,BASICOS SKINNY,36.39,25.99
1,GALAXY SKINNY MORADO/PURPLE,27.99,19.99
1,GALAXY SKINNY AMARILLO/YELLOW,27.99,19.99
1,GALAXY SKINNY AGUAMARINA/ AQUA,27.99,19.99
1,GALAXY SKINNY GRIS/GRAY,27.99,19.99
1,TRANS SKINNY AGUAMARINA/ AQUA,27.99,19.99
1,TRANS SKINNY ROSA/PINK,27.99,19.99
1,TRANS SKINNY AMARILLO/YELLOW,27.99,19.99
1,ELECTRIC SKINNY MORADO/PURPLE,27.99,19.99
1,ELECTRIC SKINNY AMARILLO/YELLOW,27.99,19.99
1,ELECTRIC SKINNY ROSA/PINK,27.99,19.99
1,8007 CINTURON MUJER FUCSIA,34.99,24.99
1,8007 CINTURON MUJER ROSA,34.99,24.99
1,8007 CINTURON MUJER LIMON,34.99,24.99
1,8007 CINTURON MUJER VERDE,34.99,24.99
1,8007 CINTURON MUJER AZUL,34.99,24.99
1,8007 CINTURON MUJER NARANJA,34.99,24.99
1,8007 CINTURON MUJER NEGRO,34.99,24.99
1,8004 CINTURILLA TERMICA DOBLE VISTA VERDE/NEGRO,20.99,14.99
1,8004 CINTURILLA TERMICA DOBLE VISTA FUCSIA/NEGRO,20.99,14.99
1,8004 CINTURILLA TERMICA DOBLE VISTA AMARILLO/NEGRO,20.99,14.99
1,8005 CAMISETA TERMINCA MUJER DOBLE VISTA VERDE/NEGRO,32.19,22.99
1,8002 CHALECO TERMICO DAMA DOBLE VISTA VERDE/NEGRO,34.99,24.99
1,8003 SHORT TERMICO DOBLE VISTA VERDE/NEGRO,27.99,19.99
1,8006 ENTERIZO TERMICO DOBLE VISTA VERDE/NEGRO,50.39,35.99
1,8008 CAMISETA TERMICA HOMBRE DOBLE VISTA VERDE/NEGRO,32.19,22.99
1,8001 CHALECO TERMICO HOMBRE DOBLE VISTA VERDE/NEGRO,34.99,24.99
1,8007 CINTURON TERMICO HOMBRE NEGRO,34.99,24.99
1,JACKET BLANCO,41.99,29.99
1,JACKET NEGRO,41.99,29.99
1,PAREO NEGRO,16.79,11.99
