PAGINA,DESCRIPCION,PRECIO,
3,3998 Blanco/plata,145.60,104.00
3,3998 Ivory/oro,145.60,104.00
3,3998 Ivory/plata,145.60,104.00
3,T255,35.70,25.50
3,CM-Boda,11.20,8.00
3,SB2021,63.00,45.00
3,C2021,35.00,25.00
3,VU2021,43.40,31.00
3,LF2021,22.40,16.00
3,B2021,32.20,23.00
3,A2021,35.00,25.00
3,Cch2021,16.80,12.00
3,BA2021,50.40,36.00
4,2219,121.80,87.00
4,TC38 (solo diadema),49.00,35.00
4,2175,82.60,59.00
4,2176,86.80,62.00
5,3088,123.20,88.00
5,3074,103.60,74.00
5,2218 Blanco/plata,138.60,99.00
5,2218 Ivory/oro,138.60,99.00
5,2218 Ivory/plata,138.60,99.00
5,"R74, por pieza",3.85,2.75
6,2268,95.20,68.00
6,V12 (solo velo),16.80,12.00
6,2470,98.00,70.00
6,2558,105.00,75.00
7,2058,81.20,58.00
7,2120,168.00,120.00
7,5814,19.60,14.00
7,R58 por pieza,3.85,2.75
7,3998,145.60,104.00
8,2449,68.60,49.00
8,2345,63.00,45.00
8,1900,110.60,79.00
8,2426,124.60,89.00
9,2349,68.60,49.00
9,2427,124.60,89.00
9,2212,96.60,69.00
10,2561,95.20,68.00
10,2562,63.00,45.00
10,1890,95.20,68.00
11,2216,96.60,69.00
11,2362,91.00,65.00
11,2958,81.20,58.00
12,2856,86.80,62.00
12,E125,133.00,95.00
12,2559,88.20,63.00
13,2011,11.90,8.50
13,2015,19.60,14.00
13,2014,19.60,14.00
13,2012,16.80,12.00
13,2018,13.30,9.50
13,5814,19.60,14.00
14,2007,9.80,7.00
14,2016,12.60,9.00
14,1200,20.30,14.50
14,R5007,11.20,8.00
14,5210,16.80,12.00
15,C2605,36.40,26.00
15,Cch2605,15.40,11.00
15,B2605,30.80,22.00
15,LF2605,22.40,16.00
15,A2605,35.00,25.00
15,SB2605,63.00,45.00
15,BA2605 Baul de sobres,53.20,38.00
15,VU295,41.30,29.50
15,VUC30,42.00,30.00
15,VU2021,43.40,31.00
15,VU29,40.60,29.00
15,Cch2097,18.20,13.00
15,C2097,44.80,32.00
15,A2697,37.80,27.00
15,B2097,35.00,25.00
15,LF2097,26.60,19.00
15,BA2097,51.80,37.00
16,SB2020,63.00,45.00
16,A2020,33.60,24.00
16,B2020,31.50,22.50
16,LF2020,22.40,16.00
16,C2020,36.40,26.00
16,Cch2020,15.40,11.00
16,SB2098,63.00,45.00
16,C2098,44.80,32.00
16,A2098,37.80,27.00
16,B2098,35.00,25.00
16,LF2098,26.60,19.00
16,Cch2098,16.80,12.00
16,SB2204,63.00,45.00
16,A2204,35.00,25.00
16,C2204,36.40,26.00
16,LF2204,22.40,16.00
16,B2204,32.20,23.00
16,Cch2204,15.40,11.00
16,BA2204,52.50,37.50
17,C2104,50.40,36.00
17,VV2104,44.80,32.00
17,A2104,36.40,26.00
17,Lf2104,23.80,17.00
17,B2104,33.60,24.00
17,Cch2104,28.00,20.00
17,BA2104,49.00,35.00
17,SB2104 Copas y cuchillos solo disponible en plata,69.30,49.50
17,C2099,56.00,40.00
17,VU2099,49.00,35.00
17,A2099,37.80,27.00
17,Lf2099,26.60,19.00
17,B2099,30.80,22.00
17,Cch2099,25.20,18.00
17,SB2099,56.00,40.00
18,C2101,42.00,30.00
18,A2101,36.40,26.00
18,Lf2101,30.80,22.00
18,B2101,30.80,22.00
18,BA2101,49.00,35.00
18,SB2101 Copas solo disponible en plata,69.30,49.50
18,BA019,49.00,35.00
18,C019,30.80,22.00
18,LF019,21.00,15.00
18,B019,28.00,20.00
18,Cch019,13.30,9.50
18,A019,30.80,22.00
18,SB019,49.00,35.00
19,C2102,44.80,32.00
19,A2102,35.00,25.00
19,Cch2102,23.80,17.00
19,BA2102BAUL (C2102-32 Codigo anterior incorrecto),49.00,35.00
19,Lf2102,22.40,16.00
19,B2120,30.80,22.00
19,SB2102,58.80,42.00
19,VU2102,41.30,29.50
19,SB2608,63.00,45.00
19,BA2608,51.80,37.00
19,C2608,39.20,28.00
19,Cch2608,16.80,12.00
19,LF2608,23.80,17.00
19,B2608,35.00,25.00
19,A2608,39.20,28.00
19,C2103,33.60,24.00
19,Lf2103,21.00,15.00
19,B2103 BIBLIA (B2102-20 Codigo anterior incorrecto),29.40,21.00
19,Cch2103,14.00,10.00
19,A2103,32.20,23.00
19,SB2103,58.80,42.00
19,BA2103,46.20,33.00
20,C2105,36.40,26.00
20,Cch2105,16.80,12.00
20,A2105,35.00,25.00
20,Lf2105,22.40,16.00
20,B2105,33.60,24.00
20,SB2105,58.80,42.00
20,BA2105,49.00,35.00
20,C2100,35.00,25.00
20,:A2100 ALBUM (C2100-25 CODIGO ANTERIOR INCORRECTO),32.20,23.00
20,Cch2100,18.20,13.00
20,Lf2100,21.00,15.00
20,B2100,30.80,22.00
20,3175,105.00,75.00
21,SB85-2105,119.00,85.00
